Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,52.07,825260,6308.8538,2.0305,11.5472,11.5472,7.9666,101.022,93.7972,0.9104,18.5785,4.0502,25.6447,0.75,0.6899,81.4215,6597.4076,734.0784,2.8397,6.1475,8.7458,7.778,12.0343,366.4467,351.0031,43.3315,0.282,0.4975,0.1076,1.4846,12.8562,55.0,52.07,56.25,51.5,27220.0,-86.60792951541849,-9.65,0.2249980647246997,-125.8857497216666,0.4177524564179225,2.071473124886211,-8.703207804062098,-0.28206139836403504,4.616434389140249,-4021.7006634405407,0.21428571428571427,-0.0002035587758517025,-0.13797257502435842,59.58183333333334,63.27933333333336,55.88433333333339
2/28/2007,42.15,629940,6308.8538,1.6436,11.5472,11.5472,7.9666,101.022,93.7972,0.9104,18.5785,4.0502,25.6447,0.75,0.6899,81.4215,5737.4841,734.0784,2.8397,4.9761,8.7458,9.609,14.8673,366.4467,351.0031,43.3315,0.282,0.6146,0.1076,1.2017,10.4069,40.75,42.15,44.95,40.5,9100.0,-81.74273858921165,-8.46,0.19939921118093568,-89.71296029465447,0.5820470775062032,3.890747464072277,-26.06760759736701,-0.5049975706199196,-0.9046567178024364,-4975.579629600594,0.14285714285714285,-0.00013019161815369093,-0.35897693715671586,47.65666666666669,50.86266666666667,44.45066666666675
3/30/2007,38.93,3416460,3373.5761,1.3907,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,5451.7852,935.4151,2.2217,3.6065,17.1581,8.2603,18.9792,436.0097,278.6688,43.3315,0.2961,0.6685,0.1096,0.8905,12.107,38.75,38.93,39.75,35.83,1136940.0,-9.111111111111112,3.8800000000000026,0.584413803987929,95.07472355192637,0.2838261707202724,1.9033150852028344,-23.28450474341836,-0.25840770434571314,-24.06610108408268,193280.24400425862,0.6428571428571429,7.811361618732529e-06,-0.1924859113792752,35.74600000000001,39.0925,32.399500000000074
4/30/2007,35.66,787600,3373.5761,1.2738,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,5168.1772,935.4151,2.2217,3.3033,17.1581,9.0185,20.7212,436.0097,278.6688,43.3315,0.2961,0.7298,0.1096,0.8156,11.09,35.0,35.66,36.48,35.0,6380.0,-66.1224489795919,-1.7100000000000009,0.2777352699716227,-65.38049045471445,0.27969062192695404,0.7614544535128189,-2.6686952108342545,-0.1244327608616051,-1.169268647529521,-4002.840862120329,0.35714285714285715,-4.017153697368851e-05,-0.0466931487884414,36.70116666666668,39.12616666666667,34.276166666666754
5/31/2007,36.5,658980,3373.5761,1.304,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,5241.4083,935.4151,2.2217,3.3816,17.1581,8.8097,20.2415,436.0097,278.6688,43.3315,0.2961,0.7129,0.1096,0.835,11.3513,36.5,36.5,37.5,36.4,13980.0,-70.4225352112676,1.9699999999999989,0.8197334189464731,81.01497604088001,0.4556364860638577,0.013358081620765459,-1.6269603700784585,-0.003347943555933041,3.2363636363636243,-10271.969017311783,0.6428571428571429,5.4849432663967685e-05,0.010492327794637931,35.79700000000001,37.4645,34.12950000000008
6/29/2007,44.26,1006880,3373.5761,1.5813,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,5914.1376,935.4151,2.2217,4.1008,17.1581,7.2647,16.6916,436.0097,278.6688,43.3315,0.2961,0.5879,0.1096,1.0125,13.7646,45.0,44.26,45.2,43.16,27160.0,-22.4647887323944,9.509999999999998,0.9124086430675724,141.4240840497704,0.4881254796664575,-1.8582650004740489,8.735146813778128,0.3473884054674901,-2.298900047823976,-9663.61768492677,0.7857142857142857,2.642803198543193e-05,0.19183622976721126,36.88000000000001,38.93649999999999,34.823500000000074
7/31/2007,49.28,1272260,3373.5761,1.7604,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,6348.5409,935.4151,2.2217,4.5652,17.1581,6.5257,14.9937,436.0097,278.6688,43.3315,0.2961,0.5281,0.1096,1.1272,15.3258,50.0,49.28,50.0,48.75,34180.0,-51.3103448275862,3.6300000000000026,0.484228765129198,16.63362653982598,0.3449591652731817,-2.4258472674135163,35.32046778630527,0.4023838314633333,-1.1891453928478175,-363.88202473811225,0.5714285714285714,-1.0788138949470474e-05,0.34734759536262616,48.70133333333335,51.23533333333332,46.16733333333341
8/31/2007,44.94,769700,3373.5761,1.6056,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,5973.0691,935.4151,2.2217,4.1638,17.1581,7.1548,16.4391,436.0097,278.6688,43.3315,0.2961,0.579,0.1096,1.0281,13.9761,43.25,44.94,45.0,43.25,12720.0,-60.960000000000036,-2.5600000000000023,0.3498366902545038,-73.46306149695744,0.2484118877613439,0.592315966621797,-6.7219306102850815,-0.11108979739775657,-2.2674881112319527,4402.842719851429,0.2857142857142857,-2.492280315175481e-05,-0.11516289959682513,45.99716666666667,48.23616666666661,43.758166666666725
9/28/2007,47.7,695180,3373.5761,1.7041,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,6211.8545,935.4151,2.2217,4.4192,17.1581,6.7412,15.4887,436.0097,278.6688,43.3315,0.2961,0.5456,0.1096,1.0912,14.8344,48.0,47.7,48.25,47.25,8580.0,-57.96610169491524,5.210000000000001,0.6659765390203058,34.405095571565774,0.36986314046385055,-0.7089649976263814,5.060330591242682,0.11475291212391768,-0.9354371652758792,-1515.5314345299328,0.42857142857142855,1.4753996008917651e-05,0.12896984124666538,46.18716666666669,48.98166666666661,43.392666666666734
10/31/2007,54.51,2246620,3373.5761,1.9475,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,6802.2258,935.4151,2.2217,5.0504,17.1581,5.8987,13.5531,436.0097,278.6688,43.3315,0.2961,0.4774,0.1096,1.247,16.9523,49.7,54.51,58.69,49.5,644140.0,-28.649760109664157,9.129999999999997,0.908555633698608,223.7867885986631,0.4707747520581193,-0.9483757375413332,4.254522269529976,0.1699419782578324,-1.1802962297474868,21024.811987610672,0.5714285714285714,1.8655772824939728e-06,0.043932672988655816,47.72883333333334,50.6238333333333,44.833833333333395
11/30/2007,53.36,2369260,3373.5761,1.9063,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,6702.1335,935.4151,2.2217,4.9434,17.1581,6.0264,13.8465,436.0097,278.6688,43.3315,0.2961,0.4877,0.1096,1.2206,16.5946,52.6,53.36,53.85,51.5,17860.0,-51.39534883720931,-2.8100000000000023,0.21203128744200345,-88.87664984573576,0.3992850448297909,-0.3989169764086995,10.867372153002,0.04394501256018902,-3.0644966847498365,13255.282196663136,0.35714285714285715,-2.1474372570025268e-05,0.05059099612471533,56.21066666666667,61.24916666666661,51.172166666666705
12/31/2007,67.17,2981980,3373.5761,2.3996,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,7898.9081,935.4151,2.2217,6.2228,17.1581,4.7873,10.9996,436.0097,278.6688,43.3315,0.2961,0.3874,0.1096,1.5365,20.8894,65.25,67.17,69.5,65.0,166220.0,-36.426666666666655,10.020000000000003,0.6840607297551605,61.68691290042515,0.301823029652954,-2.7203695286267835,20.090603483902346,0.2628040918944635,-1.3816920589257664,-7232.044433487252,0.5,3.390042024344093e-06,0.3496776215005448,62.02633333333333,66.22483333333331,57.827833333333366
1/31/2008,52.51,2772180,3373.5761,1.8758,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,6628.2558,935.4151,2.2217,4.8644,17.1581,6.1243,14.0713,436.0097,278.6688,43.3315,0.2961,0.4956,0.1096,1.2011,16.3303,46.75,52.51,54.0,46.75,8560.0,-68.07692307692308,-19.15,0.3688775140054177,-60.27739466793725,0.3118909755412511,4.179242280702057,-17.00639281034268,-0.23808148483754485,-1.8500697044239944,14422.545704880116,0.42857142857142855,-0.0003110476113700176,-0.3712799345383579,62.489499999999936,69.34099999999992,55.63800000000002
