Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,39.76,2028740,23046.1759,4.9095,12.5922,12.5922,17.8182,25.5638,11.0743,1.7991,40.129,2.492,8.099,0.575,1.415,59.871,20922.9374,1583.616,0.3003,12.8093,6.6864,6.2671,6.2404,854.9012,1271.2841,255.077,0.8585,0.0541,0.2591,2.0092,15.9551,40.65,39.76,40.65,38.18,41760.0,-68.83629191321504,-2.480000000000004,0.30816972885128124,-132.77172163286565,0.3643737999855988,0.1200445517976476,-0.5877164988417996,-0.033988572541292755,-1.2086641138575611,-6868.849883110705,0.5,1.4075733225860372e-06,0.013942222388443256,40.61749999999999,42.034000000000006,39.201000000000036
2/28/2007,35.14,5821100,23046.1759,4.3382,12.5922,12.5922,17.8182,25.5638,11.0743,1.7991,40.129,2.492,8.099,0.575,1.415,59.871,18562.1998,1583.616,0.3003,11.3186,6.6864,7.0925,7.0623,854.9012,1271.2841,255.077,0.8585,0.0612,0.2591,1.7754,14.1011,34.5,35.14,38.5,34.25,41600.0,-84.3859649122807,-4.6099999999999985,0.5490326646037434,-106.41648582256121,0.2346333224361328,1.2150116742299562,-9.267750660165213,-0.3005571983794235,1.7558350822375994,-12962.137780670413,0.35714285714285715,1.9128389164428575e-05,-0.16068496172862218,38.041999999999966,39.965,36.11900000000002
3/30/2007,33.55,1529240,17115.6436,3.3092,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,17811.6347,1772.5020000000006,0.3062,10.2007,9.9514,5.8204,7.8108,932.1419999999999,1052.369,269.46,1.2274,0.07400000000000001,0.3145,1.3979,17.1813,33.85,33.55,33.95,32.73,4500.0,-48.12834224598939,0.5499999999999972,0.5983311571273492,47.39938643913235,0.22496980994552884,0.7817711042364337,-11.556165360170178,-0.1917840228737077,-1.0231656982061086,-19471.85878235512,0.5,2.9245101314120568e-05,-0.08649774011927573,33.1043333333333,34.743333333333325,31.465333333333373
4/30/2007,35.94,725440,17115.6436,3.5447,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,19029.6274,1772.5020000000006,0.3062,10.9266,9.9514,5.4337,7.2919,932.1419999999999,1052.369,269.46,1.2274,0.069,0.3145,1.4973,18.4053,36.35,35.94,37.0,35.8,139200.0,-30.89622641509438,1.8900000000000008,0.7714020086638137,140.5803110494143,0.30941945623976763,-0.3135412257681693,4.611133948442302,0.06997211997799466,-10.276773296244649,-38643.93675016375,0.5,-3.1961182481795095e-06,0.0801994282640369,34.34766666666664,35.64216666666667,33.05316666666672
5/31/2007,35.0,8987420,17115.6436,3.4522,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,18551.358,1772.5020000000006,0.3062,10.6416,9.9514,5.5793,7.4872,932.1419999999999,1052.369,269.46,1.2274,0.0709,0.3145,1.4583,17.9239,33.85,35.0,35.0,33.81,51320.0,-53.84615384615386,-0.6400000000000006,0.51995866679027,-39.941056552927606,0.1517285802142658,0.15075996785586201,-0.0026032340475306004,-0.034103241198924585,-39.89236571907525,-46332.097514150235,0.35714285714285715,2.587829673015604e-05,-0.034509872509797236,34.979999999999976,36.2745,33.68550000000004
6/29/2007,34.5,587640,17115.6436,3.4029,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,18296.281000000006,1772.5020000000006,0.3062,10.4895,9.9514,5.6601,7.5957,932.1419999999999,1052.369,269.46,1.2274,0.0719,0.3145,1.4374,17.6678,34.55,34.5,34.65,34.25,94040.0,-38.09523809523802,0.5200000000000031,0.6652191262632191,14.148859525698422,0.2698588834422105,0.10830659060570014,-2.4031178172234235,-0.03604778538963795,-11.014089121887402,7519.998040754993,0.5,-5.959561763075904e-06,-0.021189647583231715,34.36499999999997,35.33549999999999,33.394500000000036
7/31/2007,35.05,4975240,17115.6436,3.4572,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,18576.8657,1772.5020000000006,0.3062,10.6568,9.9514,5.5713,7.4766,932.1419999999999,1052.369,269.46,1.2274,0.0708,0.3145,1.4604,17.9495,35.05,35.05,35.25,35.0,11480.0,-86.9120654396728,-0.3100000000000023,0.8156614957570725,-53.477942588165426,0.4296689322688937,-0.04900391238123092,2.032557895539886,0.023098738342724,-1.0035805025777476,-36988.870037025765,0.5,0.00011205021365667329,0.01892832288492917,35.39899999999998,36.43299999999999,34.365000000000045
8/31/2007,35.0,3993320,17115.6436,3.4522,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,19558.1674,1772.5020000000006,0.3062,10.6416,9.9514,5.5793,7.4872,932.1419999999999,1052.369,269.46,1.2274,0.0671,0.3145,1.4583,17.9239,35.5,35.0,35.5,35.0,8760.0,-79.87220447284339,-1.2000000000000028,0.5814845817147429,-75.43887362501596,0.20946836394737947,0.1087648280921698,0.012248065805290698,-0.042626579163595836,-0.9881163404840289,3410.9458255189784,0.35714285714285715,-3.90477631385548e-06,-0.012587651352395762,35.72366666666664,37.05166666666664,34.39566666666671
9/28/2007,37.37,5440620,17115.6436,3.6862,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,20836.7551,1772.5020000000006,0.3062,11.3629,9.9514,5.2251,7.0119,932.1419999999999,1052.369,269.46,1.2274,0.0628,0.3145,1.5571,19.1376,36.3,37.37,39.95,36.06,685620.0,-52.1212121212122,2.059999999999995,0.7607402431245078,201.85300901644266,0.3461742643607613,-0.27125387926159306,1.23479989269401,0.12815876680080715,0.44764764425689,-92148.08470269512,0.7142857142857143,7.401503348182205e-06,0.037844591859481316,35.858999999999966,37.163999999999966,34.55400000000003
10/31/2007,38.59,4961080,17115.6436,3.8061,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,21491.5429,1772.5020000000006,0.3062,11.7323,9.9514,5.0605,6.7911,932.1419999999999,1052.369,269.46,1.2274,0.0609,0.3145,1.6078,19.7624,39.0,38.59,39.5,38.3,18520.0,-64.95016611295671,-1.259999999999998,0.5550001822746491,-54.49586818865583,0.22053200348340413,-0.4332074364293277,7.818173665573979,0.15822480126079505,0.1687349358347733,-6711.60330662963,0.35714285714285715,-2.434432476351535e-06,0.06572873438848167,39.450166666666654,41.97116666666664,36.92916666666671
