Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,45.84,8264052,48229.6665,3.1697,17.7201,17.7201,8.7893,0.0,-78.6933,2.1732,31.4549,2.1194,14.4612,0.6667,0.496,68.5451,23220.0055,1560.094,-4.9155,19.7992,3.8463,4.6238,4.7404,1137.8495,1428.234,561.562,1.5943,0,1.2253,3.8324,21.6288,47.73,45.84,47.73,45.52,236076.0,-47.93467819404415,2.8400000000000034,0.4433237891482038,42.40364348499801,0.2500149261374895,-1.066569934255952,10.665821464523267,0.2753432103581148,-2.148262378035444,-67098.95269146758,0.5714285714285714,-3.8599648316885643e-07,0.2035210808121713,44.91483333333332,47.38883333333333,42.44083333333335
2/28/2007,40.59,1517124,48229.6665,2.8067,17.7201,17.7201,8.7893,0.0,-78.6933,2.1732,31.4549,2.1194,14.4612,0.6667,0.496,68.5451,19682.1711,1560.094,-4.9155,17.5315,3.8463,5.2219,5.3536,1137.8495,1428.234,561.562,1.5943,0,1.2253,3.3934,19.1516,41.25,40.59,41.58,38.76,33084.0,-68.55670103092774,-3.2899999999999987,0.3920345317621837,-97.18773906590984,0.3272536609232645,0.8076805908317652,-5.95907061188488,-0.18179639639698128,-0.8484234962836185,10501.110907183951,0.2857142857142857,-1.3404035833502836e-05,-0.14061804885365353,42.83466666666665,44.98416666666667,40.68516666666667
3/30/2007,37.6,1410396,25340.4407,2.3962,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,15739.9896,1143.253,-8.3975,22.1652,7.2634,5.7272,4.1815,668.0972,1451.3029999999999,561.562,1.7242,0,1.4373,4.348,17.4583,37.09,37.6,37.91,37.08,27324.0,-52.799999999999905,-0.3399999999999963,0.40286935453042094,-21.49407167235108,0.20544921721522053,0.98370931284213,-12.423557350760383,-0.2647425794515101,-0.8370195870460461,8530.241303730907,0.5,1.971250005376024e-06,-0.12474142849771548,37.76916666666664,39.45166666666667,36.08666666666668
4/30/2007,41.58,1392060,25340.4407,2.6495,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,18418.6356,1143.253,-8.3975,24.5082,7.2634,5.1797,3.7818,668.0972,1451.3029999999999,561.562,1.7242,0,1.4373,4.8076,19.3063,41.16,41.58,42.06,39.59,75972.0,-44.35797665369651,3.239999999999996,0.7028099277598541,89.14414481815285,0.32277819945901914,-0.6766953929976722,5.881597664574598,0.2061242745462515,0.947706967503234,20754.68305788824,0.5,4.081821481406553e-05,0.1290807086699049,39.088333333333296,41.32283333333332,36.85383333333334
5/31/2007,39.64,2048928,25340.4407,2.5261,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,17113.0062,1143.253,-8.3975,23.3662,7.2634,5.4329,3.9666,668.0972,1451.3029999999999,561.562,1.7242,0,1.4373,4.5835,18.4055,40.25,39.64,40.58,39.17,130008.0,-75.50000000000003,-0.2999999999999972,0.6538557443319802,-45.78280452930722,0.28549177269206755,0.06450033238633067,1.7604561912500647,-0.020546390254382912,-12.404514444089351,-7060.367041136778,0.42857142857142855,5.6470694664332215e-06,-0.0220021850880946,40.230499999999964,41.88200000000001,38.57899999999999
6/29/2007,42.53,3866076,25340.4407,2.7103,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,19061.623,1143.253,-8.3975,25.0706,7.2634,5.0635,3.6969,668.0972,1451.3029999999999,561.562,1.7242,0,1.4373,4.9179,19.7474,44.04,42.53,44.04,42.09,162696.0,-55.555555555555536,3.640000000000001,0.8390192818603471,122.47206479043513,0.6055973589240454,-0.6946495207278431,2.7640722935075464,0.2742482254789225,4.307488518362852,-67739.46959342835,0.6428571428571429,1.4136932044919613e-05,0.0826687020149051,40.33416666666663,42.25666666666665,38.411666666666676
7/31/2007,39.9,5069352,25340.4407,2.5422,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,17284.2824,1143.253,-8.3975,23.516,7.2634,5.3982,3.9413,668.0972,1451.3029999999999,561.562,1.7242,0,1.4373,4.6129,18.5263,39.51,39.9,40.5,39.29,156288.0,-89.3913043478261,-0.09000000000000341,0.429900803851986,-72.79164022123481,0.2889299614640402,0.14426178694885294,1.6679671209521127,-0.04080816537533688,-1.007289765914779,34244.40078637279,0.2857142857142857,-1.1767894299347589e-06,-0.013891441768728748,41.078999999999965,42.7315,39.42649999999999
8/31/2007,37.53,3892200,25340.4407,2.3914,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,15689.4491,1143.253,-8.3975,22.121,7.2634,5.7387,4.1899,668.0972,1451.3029999999999,561.562,1.7242,0,1.4373,4.3393,17.4258,37.83,37.53,38.17,37.45,231948.0,-84.58904109589031,-0.7999999999999972,0.5728263483914516,-58.25511543008593,0.1273131697138605,0.6687917087248181,-7.682320781655406,-0.26729886344306353,0.2401627849423892,-39156.199414828465,0.5,-1.3022531249713052e-06,-0.09228748036773594,38.32833333333331,39.55483333333335,37.10183333333332
9/28/2007,50.88,37732380,25340.4407,3.2421,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,24685.5936,1143.253,-8.3975,29.99,7.2634,4.2329,3.0905,668.0972,1451.3029999999999,561.562,1.7242,0,1.4373,5.8829,23.6245,52.15,50.88,52.92,50.0,427680.0,-28.36879432624111,11.89,0.7515469425526398,70.41441155627335,0.5650087644472755,-3.564256383781398,31.039935677080106,0.4864460300163457,0.3451554173608841,-61809.193844703485,0.5,-4.8575030094403886e-08,0.5195217225602761,44.1903333333333,46.89733333333335,41.48333333333333
10/31/2007,69.06,30530412,25340.4407,4.4008,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,36938.8324,1143.253,-8.3975,40.7078,7.2634,3.1184,2.2768,668.0972,1451.3029999999999,561.562,1.7242,0,1.4373,7.9853,32.0657,63.26,69.06,69.2,62.1,3901200.0,-12.373907195696011,20.74,0.8608196762700824,149.55866276388116,0.4894481207000822,-4.555705616558008,24.15433661818463,0.3838714784777811,-127.48957401669176,724103.3974118275,0.6428571428571429,3.511777804915582e-07,0.31387430529973204,50.64116666666664,55.453666666666706,45.82866666666665
