Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,60.07,65543358,153763.8653,1.3136,0.6931,0.6931,1.8525,87.88799999999998,53.4639,1.0717,26.4578,2.4769,45.7257,0.4167,2.6727,73.5422,192938.9667,17141.09,3.2892,7.6016,7.9207,4.1236,5.8966,6201.6542,5372.97,3615.42,0.3087,0.7113,0.2225,0.1681,24.2521
2/28/2007,51.88,42234996,153763.8653,1.1345,0.6931,0.6931,1.8525,87.88799999999998,53.4639,1.0717,26.4578,2.4769,45.7257,0.4167,2.6727,73.5422,175169.8947,17141.09,3.2892,6.5649,7.9207,4.7747,6.8277,6201.6542,5372.97,3615.42,0.3087,0.8237,0.2225,0.1452,20.9455
3/30/2007,50.46,62512680,109456.878,0.9626,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,9.8892,52.4187,2.6667,2.8521,69.8588,148455.7718,46968.53,0.6692,2.3304,31.6371,19.5987,32.8421,25133.6712,21451.95,3615.42,0.4851,1.0385,0.4047,0.1112,5.1025
4/30/2007,55.54,35324784,109456.878,1.0596,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,9.8892,52.4187,2.6667,2.8521,69.8588,159482.3576,46968.53,0.6692,2.5652,31.6371,17.8049,29.8363,25133.6712,21451.95,3615.42,0.4851,0.9435,0.4047,0.1224,5.6162
5/31/2007,60.2,66268902,109456.878,1.1484,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,9.8892,52.4187,2.6667,2.8521,69.8588,169587.0486,46968.53,0.6692,2.7803,31.6371,16.4272,27.5276,25133.6712,21451.95,3615.42,0.4851,0.8704,0.4047,0.1327,6.0874
6/29/2007,56.74,49297656,109456.878,1.0825,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,9.8892,52.4187,2.6667,2.8521,69.8588,162085.355,46968.53,0.6692,2.6206,31.6371,17.4284,29.2053,25133.6712,21451.95,3615.42,0.4851,0.9235,0.4047,0.1251,5.7376
7/31/2007,53.55,46084146,109456.878,1.0216,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,9.8892,52.4187,2.6667,2.8521,69.8588,155162.1052,46968.53,0.6692,2.4732,31.6371,18.4671,30.946,25133.6712,21451.95,3615.42,0.4851,0.9785,0.4047,0.118,5.415
8/31/2007,51.88,40645500,109456.878,0.9896,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,9.8892,52.4187,2.6667,2.8521,69.8588,151528.7547,46968.53,0.6692,2.3958,31.6371,19.0634,31.9452,25133.6712,21451.95,3615.42,0.4851,1.0101,0.4047,0.1143,5.2461
9/28/2007,59.57,64960764,109456.878,1.1364,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,9.8892,52.4187,2.6667,2.8521,69.8588,168213.1027,46968.53,0.6692,2.7511,31.6371,16.6018,27.8202,25133.6712,21451.95,3615.42,0.4851,0.8797,0.4047,0.1313,6.0237
10/31/2007,57.2,51373758,109456.878,1.0912,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,9.8892,52.4187,2.6667,2.8521,69.8588,163079.4192,46968.53,0.6692,2.6418,31.6371,17.2887,28.9713,25133.6712,21451.95,3615.42,0.4851,0.9161,0.4047,0.1261,5.7841
11/30/2007,64.39,123109158,109456.878,1.2284,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,9.8892,52.4187,2.6667,2.8521,69.8588,178679.3096,46968.53,0.6692,2.9739,31.6371,15.3578,25.7356,25133.6712,21451.95,3615.42,0.4851,0.8138,0.4047,0.1419,6.5111
12/31/2007,87.27,115351512,109456.878,1.665,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,9.8892,52.4187,2.6667,2.8521,69.8588,228316.9678,46968.53,0.6692,4.0308,31.6371,11.331,18.9878,25133.6712,21451.95,3615.42,0.4851,0.6004,0.4047,0.1924,8.8248
1/31/2008,60.26,110442042,109456.878,1.1496,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,9.8892,52.4187,2.6667,2.8521,69.8588,169713.4398,46968.53,0.6692,2.783,31.6371,16.4113,27.5009,25133.6712,21451.95,3615.42,0.4851,0.8696,0.4047,0.1328,6.0935
2/29/2008,77.47,69877476,109456.878,1.4778,2.1797,2.1797,6.2167,93.7194,25.9139,1.0893,30.1412,9.8892,52.4187,2.6667,2.8521,69.8588,207041.1033,46968.53,0.6692,3.5778,31.6371,12.7657,21.3919,25133.6712,21451.95,3615.42,0.4851,0.6764,0.4047,0.1707,7.8338
3/31/2008,68.09,61743126,147708.0348,1.1444,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,8.1575,59.4994,0.6667,2.6149,88.6389,215390.9691,36849.43,1.6034,4.0084,17.1077,11.9801,16.1999,15022.7887,17695.52,3615.42,0.4182,1.0877,0.3593,0.1328,8.3469
4/30/2008,68.23,43473198,147708.0348,1.1468,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,8.1575,59.4994,0.6667,2.6149,88.6389,215701.5405,36849.43,1.6034,4.0167,17.1077,11.9553,16.1662,15022.7887,17695.52,3615.42,0.4182,1.0854,0.3593,0.1331,8.3641
5/30/2008,59.48,61468602,147708.0348,0.9997,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,8.1575,59.4994,0.6667,2.6149,88.6389,196720.9528,36849.43,1.6034,3.5016,17.1077,13.7139,18.5443,15022.7887,17695.52,3615.42,0.4182,1.2451,0.3593,0.116,7.2914
6/30/2008,37.3,114381702,147708.0348,0.6269,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,8.1575,59.4994,0.6667,2.6149,88.6389,148600.6438,36849.43,1.6034,2.1958,17.1077,21.8699,29.5731,15022.7887,17695.52,3615.42,0.4182,1.9856,0.3593,0.0727,4.5725
7/31/2008,54.65,60125886,147708.0348,0.9185,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,8.1575,59.4994,0.6667,2.6149,88.6389,186236.4377,36849.43,1.6034,3.2171,17.1077,14.9268,20.1844,15022.7887,17695.52,3615.42,0.4182,1.3552,0.3593,0.1066,6.6994
8/29/2008,50.46,73904436,147708.0348,0.848,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,8.1575,59.4994,0.6667,2.6149,88.6389,177143.8324,36849.43,1.6034,2.9704,17.1077,16.1668,21.8611,15022.7887,17695.52,3615.42,0.4182,1.4678,0.3593,0.0984,6.1857
9/30/2008,60.04,134237280,147708.0348,1.0091,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,8.1575,59.4994,0.6667,2.6149,88.6389,197932.0951,36849.43,1.6034,3.5345,17.1077,13.5864,18.3719,15022.7887,17695.52,3615.42,0.4182,1.2335,0.3593,0.1171,7.3601
10/31/2008,47.85,103814034,147708.0348,0.8042,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,8.1575,59.4994,0.6667,2.6149,88.6389,171485.8096,36849.43,1.6034,2.8168,17.1077,17.048,23.0528,15022.7887,17695.52,3615.42,0.4182,1.5478,0.3593,0.0933,5.8658
11/28/2008,59.2,63103062,147708.0348,0.995,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,8.1575,59.4994,0.6667,2.6149,88.6389,196106.4517,36849.43,1.6034,3.485,17.1077,13.7795,18.6331,15022.7887,17695.52,3615.42,0.4182,1.2511,0.3593,0.1154,7.2571
12/31/2008,62.68,98067516,147708.0348,1.0535,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,8.1575,59.4994,0.6667,2.6149,88.6389,203662.5397,36849.43,1.6034,3.69,17.1077,13.0138,17.5976,15022.7887,17695.52,3615.42,0.4182,1.1815,0.3593,0.1222,7.6837
1/30/2009,65.33,90131646,147708.0348,1.0979,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,8.1575,59.4994,0.6667,2.6149,88.6389,209392.7547,36849.43,1.6034,3.8455,17.1077,12.4875,16.886,15022.7887,17695.52,3615.42,0.4182,1.1338,0.3593,0.1274,8.0086
2/27/2009,63.82,53005176,147708.0348,1.0726,1.5907,1.5907,4.1595,116.6938,42.915,1.064,11.3611,8.1575,59.4994,0.6667,2.6149,88.6389,206120.8629,36849.43,1.6034,3.7567,17.1077,12.7827,17.2851,15022.7887,17695.52,3615.42,0.4182,1.1606,0.3593,0.1244,7.8235
3/31/2009,62.68,76459284,135957.9157,1.0214,0.4641,0.4641,1.2467,170.5461,109.1406,0.748,46.6107,2.9217,61.3632,1.3617,2.6863,53.3893,300087.6381,53670.4,2.8902,2.5329,17.8847,4.6616,30.1992,26201.9959,6337.6,3615.4,0.3165,1.7829,0.2699,0.0995,21.4533
4/29/2009,64.61,66678498,135957.9157,1.0529,0.4641,0.4641,1.2467,170.5461,109.1406,0.748,46.6107,2.9217,61.3632,1.3617,2.6863,53.3893,304281.598,53670.4,2.8902,2.611,17.8847,4.5221,29.2955,26201.9959,6337.6,3615.4,0.3165,1.7295,0.2699,0.1026,22.1138
5/29/2009,77.45,147607278,135957.9157,1.2622,0.4641,0.4641,1.2467,170.5461,109.1406,0.748,46.6107,2.9217,61.3632,1.3617,2.6863,53.3893,332137.9006,53670.4,2.8902,3.13,17.8847,3.7723,24.4381,26201.9959,6337.6,3615.4,0.3165,1.4428,0.2699,0.123,26.5085
6/30/2009,71.68,142476360,135957.9157,1.1682,0.4641,0.4641,1.2467,170.5461,109.1406,0.748,46.6107,2.9217,61.3632,1.3617,2.6863,53.3893,319628.8151,53670.4,2.8902,2.897,17.8847,4.0758,26.4041,26201.9959,6337.6,3615.4,0.3165,1.5588,0.2699,0.1139,24.5337
7/31/2009,79.0,95581344,135957.9157,1.2874,0.4641,0.4641,1.2467,170.5461,109.1406,0.748,46.6107,2.9217,61.3632,1.3617,2.6863,53.3893,335500.2232,53670.4,2.8902,3.1927,17.8847,3.6983,23.9587,26201.9959,6337.6,3615.4,0.3165,1.4145,0.2699,0.1255,27.0391
8/31/2009,84.62,95083200,135957.9157,1.3789,0.4641,0.4641,1.2467,170.5461,109.1406,0.748,46.6107,2.9217,61.3632,1.3617,2.6863,53.3893,347683.9693,53670.4,2.8902,3.4196,17.8847,3.4528,22.3683,26201.9959,6337.6,3615.4,0.3165,1.3206,0.2699,0.1344,28.9626
9/30/2009,95.68,102846300,135957.9157,1.5592,0.4641,0.4641,1.2467,170.5461,109.1406,0.748,46.6107,2.9217,61.3632,1.3617,2.6863,53.3893,371671.8492,53670.4,2.8902,3.8665,17.8847,3.0537,19.783,26201.9959,6337.6,3615.4,0.3165,1.1679,0.2699,0.152,32.7481
10/30/2009,85.24,66146112,135957.9157,1.3891,0.4641,0.4641,1.2467,170.5461,109.1406,0.748,46.6107,2.9217,61.3632,1.3617,2.6863,53.3893,349039.7274,53670.4,2.8902,3.4449,17.8847,3.4275,22.2043,26201.9959,6337.6,3615.4,0.3165,1.3109,0.2699,0.1354,29.1748
11/30/2009,98.35,69398790,135957.9157,1.6028,0.4641,0.4641,1.2467,170.5461,109.1406,0.748,46.6107,2.9217,61.3632,1.3617,2.6863,53.3893,377474.4938,53670.4,2.8902,3.9747,17.8847,2.9707,19.2449,26201.9959,6337.6,3615.4,0.3165,1.1362,0.2699,0.1562,33.6619
12/31/2009,105.93,71117196,135957.9157,1.7262,0.4641,0.4641,1.2467,170.5461,109.1406,0.748,46.6107,2.9217,61.3632,1.3617,2.6863,53.3893,393906.2819,53670.4,2.8902,4.2808,17.8847,2.7582,17.8686,26201.9959,6337.6,3615.4,0.3165,1.0549,0.2699,0.1682,36.2563
1/29/2010,90.14,73296300,135957.9157,1.469,0.4641,0.4641,1.2467,170.5461,109.1406,0.748,46.6107,2.9217,61.3632,1.3617,2.6863,53.3893,359668.9368,53670.4,2.8902,3.6429,17.8847,3.2412,20.9973,26201.9959,6337.6,3615.4,0.3165,1.2396,0.2699,0.1432,30.8519
2/26/2010,93.99,91369836,135957.9157,1.5317,0.4641,0.4641,1.2467,170.5461,109.1406,0.748,46.6107,2.9217,61.3632,1.3617,2.6863,53.3893,368020.4095,53670.4,2.8902,3.7985,17.8847,3.1084,20.1373,26201.9959,6337.6,3615.4,0.3165,1.1888,0.2699,0.1493,32.1696
3/31/2010,86.34,82727046,187296.8973,1.3243,1.3184,1.3184,2.818,176.9737,105.0275,0.9299,33.6004,7.525,65.1973,2.5283,2.1375,66.3996,355097.0248,37933.3,4.176,4.937,10.6824,8.7154,12.5418,14573.0446,16323.6,3615.4,0.3573,1.4251,0.2882,0.1513,11.4738
4/30/2010,86.25,62734350,187296.8973,1.3229,1.3184,1.3184,2.818,176.9737,105.0275,0.9299,33.6004,7.525,65.1973,2.5283,2.1375,66.3996,354898.1803,37933.3,4.176,4.9317,10.6824,8.7246,12.5551,14573.0446,16323.6,3615.4,0.3573,1.4267,0.2882,0.1511,11.4618
5/31/2010,96.86,93763776,187296.8973,1.4856,1.3184,1.3184,2.818,176.9737,105.0275,0.9299,33.6004,7.525,65.1973,2.5283,2.1375,66.3996,377909.9221,37933.3,4.176,5.5383,10.6824,7.7691,11.1801,14573.0446,16323.6,3615.4,0.3573,1.2704,0.2882,0.1697,12.8718
6/30/2010,110.46,278287776,187296.8973,1.6942,1.3184,1.3184,2.818,176.9737,105.0275,0.9299,33.6004,7.525,65.1973,2.5283,2.1375,66.3996,407411.2282,37933.3,4.176,6.3159,10.6824,6.8125,9.8035,14573.0446,16323.6,3615.4,0.3573,1.114,0.2882,0.1935,14.6791
7/30/2010,106.93,261512880,187296.8973,1.64,1.3184,1.3184,2.818,176.9737,105.0275,0.9299,33.6004,7.525,65.1973,2.5283,2.1375,66.3996,399746.6732,37933.3,4.176,6.1139,10.6824,7.0376,10.1275,14573.0446,16323.6,3615.4,0.3573,1.1508,0.2882,0.1873,14.21
