Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,279.66,3053100,10942.251,9.0688,12.8641,12.8641,16.5779,17.2675,-23.6985,2.6338,8.7326,7.1863,30.8376,0.5,1.2887,91.2674,25687.5683,879.6239999999997,-0.7574,23.1614,8.5019,2.5696,3.9694,552.3191,523.5219999999998,177.764,1.6263,0.0185,0.7864,5.0062,38.9157,284.0,279.66,288.4,270.21,387910.0,-28.012820512820372,9.620000000000003,0.5096545848646771,108.69366581652905,0.17546552606007626,-2.7787107481509565,3.5268456307018576,0.11983264187442512,-0.8113277303977399,16432.967461585216,0.5,-3.8118995700495175e-05,0.06563659887740156,271.295,281.8389999999998,260.751
2/28/2007,256.51,2885400,10942.251,8.3181,12.8641,12.8641,16.5779,17.2675,-23.6985,2.6338,8.7326,7.1863,30.8376,0.5,1.2887,91.2674,23511.8386,879.6239999999997,-0.7574,21.2441,8.5019,2.8016,4.3277,552.3191,523.5219999999998,177.764,1.6263,0.0201,0.7864,4.5918,35.6943,240.0,256.51,261.0,234.71,97685.0,-61.791402637437905,-23.120000000000005,0.3872816740862509,-64.453551489509,0.2866913990571695,5.9210668722478195,-6.3299065952680165,-0.1856765984523632,-0.06464868757006419,59338.66765412494,0.2857142857142857,-0.0007183751363047923,-0.12930281545136674,264.7908333333333,279.94333333333327,249.6383333333333
3/30/2007,240.13,1977520,22568.3626,4.5889999999999995,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,20901.3336,1271.758,-1.3752,17.0543,6.0846,4.3488,5.4853,873.6895,943.21,187.968,1.7876,0.0073,1.0256,4.1468,22.9948,244.2,240.13,244.9,238.0,174710.0,-67.26470588235296,0.12999999999999545,0.4887880387348907,3.1926469369504398,0.1448942844650912,3.258338261901088,-8.517874742173214,-0.12028964916284485,2.8497589906762033,-15180.383417977957,0.2857142857142857,0.0002671861889522664,-0.054200697467910605,240.7885,254.4965,227.08049999999997
4/30/2007,257.35,941970,22568.3626,4.9181,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,22519.7381,1271.758,-1.3752,18.2773,6.0846,4.0578,5.1182,873.6895,943.21,187.968,1.7876,0.0068,1.0256,4.4442,24.6438,264.86,257.35,264.86,254.0,8110.0,-60.88709677419351,1.2700000000000389,0.4840883305814489,13.507756901395226,0.18318541233367644,-3.3464806114494934,8.032170325458832,0.12808927466597184,-0.9360447920322924,2818.696955819441,0.5,-0.0018851937363072008,0.1220412969522182,256.8551666666666,270.0176666666666,243.69266666666664
5/31/2007,306.29,8751835,22568.3626,5.8534,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,27119.3153,1271.758,-1.3752,21.7531,6.0846,3.4094,4.3004,873.6895,943.21,187.968,1.7876,0.0057,1.0256,5.2893,29.3303,319.95,306.29,319.95,304.6,424365.0,-37.81994704324798,42.670000000000016,0.7076607498116476,66.63328424879919,0.5404949566272701,-14.179293734743053,20.829451976672946,0.3677618401252488,-1.5605929610851699,-110673.4865716268,0.6428571428571429,3.848541667836557e-06,0.3180997414116967,287.47666666666663,303.88616666666667,271.0671666666666
6/29/2007,351.77,18225885,22568.3626,6.7225,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,31393.7077,1271.758,-1.3752,24.9831,6.0846,2.9686,3.7444,873.6895,943.21,187.968,1.7876,0.005,1.0256,6.0747,33.6854,353.6,351.77,363.76,349.0,1333660.0,-12.49478949562319,47.16999999999996,0.8483748959451806,142.8341025839185,0.4639696554360538,-12.833495369009938,13.016326661106033,0.25961519994832755,-153.0757359437873,-235803.34848616878,0.7142857142857143,-5.41134292292001e-05,0.11993935351404925,315.6478333333332,333.17933333333326,298.11633333333333
7/31/2007,306.94,8867780,22568.3626,5.8658,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,27180.4049,1271.758,-1.3752,21.7992,6.0846,3.4022,4.2913,873.6895,943.21,187.968,1.7876,0.0057,1.0256,5.3005,29.3925,308.0,306.94,310.0,300.4,140310.0,-85.95141700404858,-32.129999999999995,0.16404503906982573,-120.25981261626845,0.5213066636225303,4.033465082905707,-0.05394683313310367,-0.11589356073354408,-1.2374214348083932,48784.59020554028,0.2857142857142857,-0.00014287774252536267,-0.08144096672797177,329.8301666666665,342.42516666666666,317.23516666666666
8/31/2007,284.63,5064545,22568.3626,5.4395,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,25083.6217,1271.758,-1.3752,20.2147,6.0846,3.6689,4.6277,873.6895,943.21,187.968,1.7876,0.0062,1.0256,4.9153,27.2561,276.0,284.63,288.0,274.6,207515.0,-10.1981351981352,14.329999999999984,0.4242370476879512,67.35005887167232,0.263394035029238,6.537293914042608,-15.320838346262152,-0.16338576485023545,2.382806603019449,8564.469975247554,0.7142857142857143,-0.00012879078012854718,-0.12183562165665905,273.8199999999998,289.833,257.8069999999999
9/28/2007,268.37,2961905,22568.3626,5.1287,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,23555.7106,1271.758,-1.3752,19.0599,6.0846,3.8912,4.9081,873.6895,943.21,187.968,1.7876,0.0065,1.0256,4.6345,25.699,271.8,268.37,271.8,263.0,111075.0,-73.3866804336603,-21.269999999999982,0.23482846669734764,-101.67937565766493,0.3552464987297498,4.836043068098945,-1.9147803307916988,-0.17010387382102113,-3.2328629793859176,10086.486388534286,0.2857142857142857,-0.00023436061243915223,-0.050289440873291465,281.4174999999999,291.86149999999986,270.97349999999994
10/31/2007,295.8,10683215,22568.3626,5.6529,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,26133.7193,1271.758,-1.3752,21.008000000000006,6.0846,3.5304,4.4529,873.6895,943.21,187.968,1.7876,0.0059,1.0256,5.1081,28.3257,295.8,295.8,303.0,290.0,839175.0,-16.5644171779141,28.0,0.7051705342673226,142.8655830621729,0.31853832165392365,-3.132212885674789,-4.807525449274099,0.05555236390701065,-0.7875969901496255,-45243.81631701566,0.7142857142857143,-0.00028641328914809133,0.03268238301941232,257.7625,282.2615,233.2635
