Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,137.3,104157626,213948.6726,5.3376,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,188751.9637,29702.4,0.0548,6.9795,13.777999999999999,8.15,12.7457,23148.0531,23988.7,3033.7,0.9822,0.0462,0.9972,2.9087,12.2699,136.0,137.3,138.35,133.0,4986047.0,-66.80851063829782,-1.799999999999983,0.3044208144855237,-86.64992898975824,0.2619297130817978,0.5056793857078219,0.94636460973573,-0.04006499144045735,12.087546846079958,972083.379915623,0.7142857142857143,-7.418343347237386e-07,-0.00031793914085057165,141.4225,147.57999999999996,135.265
2/28/2007,115.8,139199134,213948.6726,4.5018,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,177279.0838,29702.4,0.0548,5.8866,13.777999999999999,9.6632,15.1121,23148.0531,23988.7,3033.7,0.9822,0.0493,0.9972,2.4532,10.3485,124.0,115.8,124.0,107.0,19215460.0,-75.6569847856155,-25.8,0.1150788105537241,-157.54752496954944,0.5167201667690005,4.576841643433426,-9.297023959945335,-0.2501747907298262,-4.233060838079623,29632.018365203574,0.2857142857142857,-2.04487517190493e-06,-0.16168024878630718,133.53,140.21750000000003,126.84250000000002
3/30/2007,106.7,245313039,213948.6726,4.148,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,163475.9567,29702.4,0.0548,5.4239999999999995,13.777999999999999,10.4873,16.4009,23148.0531,23988.7,3033.7,0.9822,0.0535,0.9972,2.2604,9.5353,102.1,106.7,107.9,102.1,5106152.0,-46.212121212121154,-3.3499999999999943,0.4433707805456335,-42.42905435852515,0.3311357038627867,5.147825973137358,-19.493716627843675,-0.2492523598957875,-1.3440183561460073,1796636.319316676,0.35714285714285715,-3.069912959000048e-07,-0.20390522152750126,107.30333333333333,114.51833333333336,100.08833333333335
4/30/2007,117.95,166185087,213948.6726,4.5853,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,180555.2795,29702.4,0.0548,5.9959,13.777999999999999,9.4871,14.8366,23148.0531,23988.7,3033.7,0.9822,0.0484,0.9972,2.4987,10.5407,117.0,117.95,119.0,115.55,1841213.0,-39.07766990291262,8.549999999999997,0.6687438736292809,67.33741710177813,0.41235780646018294,-2.0378322775165145,7.6681069395177595,0.14204122430066654,-1.4338423558612718,-698766.4994432046,0.5,4.400980997486522e-08,0.15928212636179384,112.05083333333332,116.81583333333332,107.28583333333331
5/31/2007,113.4,142924042,213948.6726,4.4085,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,173653.1366,29702.4,0.0548,5.7646,13.777999999999999,9.8677,15.4319,23148.0531,23988.7,3033.7,0.9822,0.0503,0.9972,2.4023,10.134,115.8,113.4,117.6,112.1,7259620.0,-82.8571428571428,-6.149999999999992,0.3222176645060732,-88.36554866975423,0.3243753240919316,0.5067917387052745,4.1450423363704045,-0.04232544933376625,-2.549980065899652,-328525.7654127993,0.35714285714285715,-2.313920793985145e-07,-0.017691855970943245,118.97,123.03499999999997,114.905
6/29/2007,124.5,89295193,213948.6726,4.84,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,190963.4191,29702.4,0.0548,6.3289,13.777999999999999,8.988,14.0561,23148.0531,23988.7,3033.7,0.9822,0.0457,0.9972,2.6375,11.126,127.0,124.5,129.9,120.7,4795273.0,-21.68674698795182,15.200000000000005,0.8980864832877985,157.1667862271283,0.506729896092753,-1.7682437557506745,-0.29461622682199096,0.14843245860348825,-0.6315852469753684,454347.6353891315,0.5714285714285714,7.784555241490224e-07,0.059080612975013526,114.15000000000002,118.86250000000004,109.43750000000004
7/31/2007,131.4,118522410,213948.6726,5.1082,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,201456.5688,29702.4,0.0548,6.6796,13.777999999999999,8.516,13.318,23148.0531,23988.7,3033.7,0.9822,0.0433,0.9972,2.7837,11.7426,129.45,131.4,132.5,128.75,4661888.0,-41.35667396061265,3.700000000000003,0.4004842099274574,-7.998376639218959,0.3821297088913513,-2.12926302219924,14.482739335971964,0.14005416944916887,-1.8140816106538264,1050062.6490609944,0.42857142857142855,-2.833607087957406e-07,0.11728566230122565,131.37250000000006,137.23250000000002,125.51250000000003
8/31/2007,133.45,142553215,213948.6726,5.1879,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,204595.6345,29702.4,0.0548,6.7838,13.777999999999999,8.3852,13.1134,23148.0531,23988.7,3033.7,0.9822,0.0426,0.9972,2.8271,11.9258,133.0,133.45,134.4,132.75,1304731.0,-66.93811074918571,6.749999999999987,0.6132975472847989,60.89445248994553,0.3358833902533215,-1.5130163687838944,1.2728821095352842,0.1128353734939723,-0.5047464416395723,791929.2259067504,0.42857142857142855,1.04316067028904e-06,0.043099439595749515,130.25750000000008,136.1875,124.3275
9/28/2007,144.5,146584599,213948.6726,5.6175,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,221504.4482,29702.4,0.0548,7.3455,13.777999999999999,7.7439,12.1106,23148.0531,23988.7,3033.7,0.9822,0.0394,0.9972,3.0612,12.9133,144.55,144.5,146.9,143.0,2801780.0,-73.35907335907342,0.15000000000000568,0.6226594747437897,21.820398376401094,0.5079663694567971,-3.3577041244379866,12.766598263443491,0.3165015244474555,-0.4659807417319317,1025672.5400478323,0.5714285714285714,-4.033132755768428e-08,0.1523840995525466,143.46666666666673,147.74416666666662,139.1891666666667
10/31/2007,144.75,129425022,213948.6726,5.6272,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,221884.8529,29702.4,0.0548,7.3582,13.777999999999999,7.7306,12.0897,23148.0531,23988.7,3033.7,0.9822,0.0393,0.9972,3.0665,12.9357,145.0,144.75,145.8,143.5,942773.0,-42.04545454545455,-7.900000000000006,0.10538132678768672,-38.179126628491694,0.6516989967978211,-0.03952782928550391,1.2231929904596046,0.0037571513501059423,-1.0417520661379194,-972488.3104504959,0.5,-1.8041084897861008e-06,-0.014459249270022496,146.53500000000014,152.87750000000003,140.19250000000005
