Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,52.39,2286100,17271.9238,3.5221,11.1451,11.1451,9.686,103.2569,75.6977,2.6772,27.5904,3.6957,14.8731,1.0,1.023,72.4096,12303.3849,1411.6551,1.5418,6.9386,7.2585,7.0548,11.6208,736.7415,691.0138,193.3172,1.0225,0.2932,0.5102,1.5798,14.1759,53.9,52.39,53.99,51.8,17250.0,-83.8181818181818,-2.6300000000000026,0.2273982554837642,-109.50323655352852,0.3810694702257279,0.18284873698684834,-0.2889312212951364,-0.07135433588960002,-0.8191510961336746,-18799.557482513766,0.2857142857142857,-5.4106474943597095e-06,0.021775642061610083,54.24799999999999,57.02950000000001,51.46650000000002
2/28/2007,50.05,2497370,17271.9238,3.3648,11.1451,11.1451,9.686,103.2569,75.6977,2.6772,27.5904,3.6957,14.8731,1.0,1.023,72.4096,11851.0231,1411.6551,1.5418,6.6286,7.2585,7.3847,12.1642,736.7415,691.0138,193.3172,1.0225,0.3069,0.5102,1.5092,13.5428,50.3,50.05,51.99,48.6,43630.0,-66.00000000000004,-3.7900000000000063,0.18233902606396532,-90.50559634019291,0.4045765083508564,0.8267930419497418,-4.283255957981661,-0.15172098537549072,-0.4697791082810182,779.8579873474882,0.2857142857142857,-1.7238613696751345e-05,-0.07474577331074853,52.51149999999999,55.12199999999999,49.90100000000001
3/30/2007,45.45,667790,8786.266,2.5286,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,12816.2787,1780.7486,2.2631,4.934,13.8944,9.4581,16.1694,914.6539,831.0096,193.3172,0.4816,0.4646,0.0145,1.0011,10.573,45.2,45.45,46.3,44.5,15460.0,-24.474187380497032,1.3700000000000043,0.5444215503485279,21.45612384701033,0.18852451274910187,1.5416877851368866,-15.884830346106147,-0.2631757675501321,-1.0109936339205616,4925.0357615815465,0.5,4.412156580319929e-05,-0.1819656457992312,44.89116666666668,48.025166666666664,41.75716666666667
4/30/2007,49.7,1356460,8786.266,2.765,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,13637.876,1780.7486,2.2631,5.3954,13.8944,8.6493,14.7867,914.6539,831.0096,193.3172,0.4816,0.4249,0.0145,1.0947,11.5616,48.12,49.7,51.3,48.0,14960.0,-48.18181818181815,3.75,0.5650844743507194,47.553076819998466,0.30426823708622525,-1.3747438339493456,9.491236517828932,0.17518194084748812,-0.8099994055050103,-6008.321187218775,0.42857142857142855,3.4386805936766434e-06,0.1891735249095013,47.40116666666667,49.76966666666666,45.03266666666666
5/31/2007,48.65,2001190,8786.266,2.7066,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,13434.8931,1780.7486,2.2631,5.2814,13.8944,8.8359,15.1059,914.6539,831.0096,193.3172,0.4816,0.4341,0.0145,1.0716,11.3174,49.0,48.65,49.86,48.03,27210.0,-77.99145299145297,-3.240000000000002,0.2408938787602269,-72.87459795603594,0.35414656108366444,-0.10593769790383334,5.620746630926304,0.01782886919747028,-1.0087847806786847,-17442.087703591675,0.35714285714285715,-6.36768853947542e-05,0.008481892179350966,49.91966666666665,52.06416666666665,47.775166666666664
6/29/2007,60.98,6555110,8786.266,3.3926,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,15818.4916,1780.7486,2.2631,6.62,13.8944,7.0493,12.0515,914.6539,831.0096,193.3172,0.4816,0.3463,0.0145,1.3432,14.1857,58.5,60.98,61.05,58.5,314550.0,-1.157024793388435,2.639999999999993,0.7151467484270575,85.14215930278634,0.3741838871859764,-2.164633206299399,18.208925377620385,0.3250424302285224,-5.073396397237575,53660.47700254562,0.5,-1.3716099080048828e-06,0.2718600278186982,56.53183333333334,58.73383333333334,54.32983333333333
7/31/2007,62.71,4792870,8786.266,3.4888,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,16152.93,1780.7486,2.2631,6.8078,13.8944,6.8549,11.719,914.6539,831.0096,193.3172,0.4816,0.3368,0.0145,1.3813,14.5881,60.42,62.71,63.0,59.3,20670.0,-44.22680412371132,-0.5499999999999972,0.695761139164441,-63.44641766605256,0.2667190095933569,-0.7552683415609494,9.746375696132844,0.08533686458194117,0.6734094125317414,-58909.526279308906,0.5,-3.393072677381965e-05,0.031777724404791666,63.63500000000001,67.1105,60.15949999999993
8/31/2007,59.11,1795870,8786.266,3.2883,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,15456.0223,1780.7486,2.2631,6.4164,13.8944,7.273,12.4338,914.6539,831.0096,193.3172,0.4816,0.3573,0.0145,1.3019,13.7507,58.21,59.11,59.79,58.0,527450.0,-29.191919191919197,-0.980000000000004,0.5226916146500388,10.672349921191092,0.2282462824244729,0.7392718906968554,-8.330205092202405,-0.1079762695739882,-0.4260482160408092,34037.084208358734,0.5,-0.0001254817752705636,-0.0839476893561874,58.75216666666665,61.55166666666668,55.95266666666663
9/28/2007,58.59,746720,8786.266,3.2593,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,15355.674,1780.7486,2.2631,6.36,13.8944,7.3375,12.5442,914.6539,831.0096,193.3172,0.4816,0.3605,0.0145,1.2904,13.6297,57.5,58.59,59.65,57.5,31220.0,-64.09999999999997,-0.4099999999999966,0.7537970721998125,-29.0969830072308,0.475450914990088,0.12103442450118253,-1.993943004175932,-0.020207039475379437,-1.0405884677788522,721.6692965033844,0.42857142857142855,0.0001244178740954927,-0.009610346232825358,59.14983333333332,62.27533333333334,56.0243333333333
10/31/2007,60.02,2781350,8786.266,3.3389,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,15632.1216,1780.7486,2.2631,6.5152,13.8944,7.1627,12.2453,914.6539,831.0096,193.3172,0.4816,0.3519,0.0145,1.3219,13.9624,60.5,60.02,61.0,58.02,39970.0,-11.54811715481168,1.3100000000000025,0.3125820716817359,76.40503269843903,0.44415759366787627,-0.14577717032072712,-0.4642103211697003,0.026351934234189363,-3.2158250976902862,10251.211938705936,0.5,-0.00029797996696172567,0.003693181656392533,58.36633333333332,61.40983333333334,55.3228333333333
