Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,743.05,10862660,109013.6618,5.5091,6.2529,6.2529,3.2128,150.6568,103.2942,2.0634,26.1346,9.5843,134.8778,2.5,0.5138,73.8654,145997.7228,3453.383,6.1882,32.9404,2.6486,1.2899,1.4975,1254.3637,1467.2979999999998,383.473,1.1546,0.2501,0.7592,4.8477,77.5278,759.95,743.05,759.95,734.15,548920,-90.71465832029214,-55.100000000000016,0.18927802228403093,-153.87538215985572,0.3777138751118523,7.971662739463341,0.5442017418461884,-0.11159085510543773,-0.29970727565690863,7064.6265328484005,0.42857142857142855,-0.0001898547294255868,-0.0488463724405193,797.0374999999997,818.7600000000003,775.3149999999993
2/28/2007,676.9,10446617,109013.6618,5.0186,6.2529,6.2529,3.2128,150.6568,103.2942,2.0634,26.1346,9.5843,134.8778,2.5,0.5138,73.8654,134902.7732,3453.383,6.1882,30.0079,2.6486,1.4159,1.6438,1254.3637,1467.2979999999998,383.473,1.1546,0.2745,0.7592,4.4162,70.6259,681.0,676.9,690.0,606.0,1401616,-50.78097882679624,-69.05000000000007,0.07591787375515227,-176.35494918877654,0.6281690572283821,22.680317029601607,-10.924998208329821,-0.389818915969974,-6.355304369171576,385850.591295777,0.42857142857142855,-0.0004016353788909161,-0.14716958689291434,725.7199999999997,750.9150000000003,700.5249999999992
3/30/2007,728.25,14392557,122282.0451,3.0591,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,128432.1907,16720.39,0.3723,6.9057,13.0102,8.3651,11.1975,10068.2584,9658.878,839.561,1.8299,0.2033,1.289,1.7944,11.9544,714.5,728.25,734.4,710.0,666788,-5.726256983240202,68.25,0.5160240058291625,147.63097913419006,0.216345637228132,-0.06910518800793852,-3.666257546695385,-0.0046605299129038645,-1.931830222525544,127935.84647478054,0.5714285714285714,2.6849979523105544e-05,0.03318546653748181,670.0541666666662,695.2091666666672,644.8991666666659
4/30/2007,708.45,11003810,122282.0451,2.9760000000000004,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,125118.2078,16720.39,0.3723,6.7179,13.0102,8.5989,11.5104,10068.2584,9658.878,839.561,1.8299,0.2089,1.289,1.7457,11.6294,710.55,708.45,712.65,688.0,491511,-50.31779661016944,-12.049999999999955,0.3670775771972429,-85.25312442522079,0.14300636791888446,-3.0748925437973185,5.5031438766546765,0.0538255600564161,-1.5719705604058032,71131.61419782718,0.35714285714285715,-6.436711594241557e-05,0.02873153940252433,715.968333333333,734.4558333333339,697.4808333333325
5/31/2007,647.15,18473157,122282.0451,2.7185,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,114831.657,16720.39,0.3723,6.1367,13.0102,9.4134,12.6008,10068.2584,9658.878,839.561,1.8299,0.2287,1.289,1.5946,10.6231,655.0,647.15,660.9,639.0,939235,-70.22263450834889,-36.64999999999998,0.28842966957136096,-65.95213894545923,0.4003189406293455,13.388112254644625,-8.869513090325665,-0.2498633606252277,-0.7833971376043674,-67279.23062745709,0.2857142857142857,-5.101187499019438e-05,-0.12802989807178775,669.9291666666664,690.1791666666671,649.6791666666659
6/29/2007,657.25,9625129,122282.0451,2.7609,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,116526.5047,16720.39,0.3723,6.2324,13.0102,9.2688,12.4071,10068.2584,9658.878,839.561,1.8299,0.2252,1.289,1.6195,10.7889,655.5,657.25,659.0,651.05,288387,-12.938230383973293,31.899999999999977,0.5818622714611614,78.694815335864,0.1956734956263244,1.938510953700984,-3.930626785851288,-0.048091182697376486,-1.3827368329525909,14885.745207046712,0.5714285714285714,4.996808552050497e-05,-0.016670817060358473,642.0899999999996,656.9200000000005,627.2599999999992
7/31/2007,634.05,7421294,122282.0451,2.6634,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,112720.6949,16720.39,0.3723,6.0124,13.0102,9.6079,12.8611,10068.2584,9658.878,839.561,1.8299,0.2333,1.289,1.5623,10.4081,645.0,634.05,645.0,631.5,296079,-86.75496688741724,-49.450000000000045,0.3120708377002528,-155.38121364090097,0.33601145354234635,3.8900588659709,1.9202115435341471,-0.08689292458379358,-3.747243742690088,-58175.93480774714,0.2857142857142857,-0.0002511872725220359,-0.011339782502348938,666.0991666666665,683.8416666666673,648.3566666666658
8/31/2007,640.65,6313814,122282.0451,2.6912,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,113859.6276,16720.39,0.3723,6.075,13.0102,9.509,12.7286,10068.2584,9658.878,839.561,1.8299,0.2308,1.289,1.5786,10.5164,637.0,640.65,646.0,633.05,93687,-13.717948717948778,7.25,0.5352747682100379,101.96253481464487,0.2503379178284145,3.3597453960067014,-4.283355265496117,-0.0943722686243183,-1.1006760764666308,16300.038630951949,0.7142857142857143,-4.8808625334689633e-05,-0.02351050582781814,630.6508333333331,644.185833333334,617.1158333333326
9/28/2007,650.05,5265444,122282.0451,2.7307,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,115438.7525,16720.39,0.3723,6.1642,13.0102,9.3715,12.5445,10068.2584,9658.878,839.561,1.8299,0.2274,1.289,1.6018,10.6707,646.0,650.05,654.75,646.0,597977,-52.71210013908212,-9.650000000000091,0.6884326209302394,3.8019835188936058,0.21614013499217166,0.08164482437814513,1.1691865606953011,-0.0016106506764607983,-0.8198707491632655,60677.136824528694,0.35714285714285715,-0.00019030780285306348,-0.003971769026847624,649.7441666666663,663.3366666666673,636.1516666666661
10/31/2007,621.6,12227814,122282.0451,2.6111,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,110659.3799,16720.39,0.3723,5.8944,13.0102,9.8004,13.1187,10068.2584,9658.878,839.561,1.8299,0.2379,1.289,1.5317,10.2037,618.0,621.6,625.0,612.0,434820,-28.30769230769227,-9.449999999999932,0.3031710811132319,-31.875352019287014,0.4751150460349836,6.0876653460053385,-4.957231417918777,-0.13250468428144896,-1.2887885070666814,65958.45003887796,0.5,-3.0727390179838524e-05,-0.07232194089456208,626.1949999999998,646.3400000000005,606.049999999999
