Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PE_RATIO,REL_PE_RATIO,T12M_DIL_PE_CONT_OPS,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,DVD_PAYOUT_RATIO_NORMALIZED_EARN,IS_DILUTED_EPS,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,TRAIL_12M_DVD_PER_SH,TRAIL_12M_EPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,TRAIL_12M_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,IS_TOTAL_EXPENDITURES,INVENT_TURN,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,MOV_AVG_50D,MOV_AVG_20D,MOV_AVG_100D,MOV_AVG_30D,VOLATILITY_20D,VOLATILITY_60D,VOLATILITY_90D,RSI_30D,RSI_14D,CASH_RATIO,PX_TO_SALES_RATIO,PX_OPEN
1/31/2007,882.15,46513,26476.5988,20.5251,0.9659,#N/A N/A,10.5022,24.6173,24.6173,29.8843,0,-90.1344,2.0587,58.1682,58.1682,42.9788,42.9788,83.9964,25,25,42.979,1.214,41.8318,26177.6158,1308.2377,-1.8786,1308.2377,21.8884,5.4467,4.8721,4.2922,886.8819,1395.1235,#N/A N/A,#N/A N/A,324.6074,1.5056,0,600.7233,860.5725,521.6933,759.69,30.362,22.251,21.255,66.0904,53.8551,1.4538,5.0528,875
2/28/2007,825.95,68938,26476.5988,19.2175,0.9782,#N/A N/A,9.8332,24.6173,24.6173,29.8843,0,-90.1344,2.0587,58.1682,58.1682,42.9788,42.9788,83.9964,25,25,42.979,1.214,41.8318,24353.3244,1308.2377,-1.8786,1308.2377,20.4939,5.4467,5.2036,4.5843,886.8819,1395.1235,#N/A N/A,#N/A N/A,324.6074,1.5056,0,611.8923,869.87,524.9528,771.185,20.934,21.58,20.894,63.4651,49.9688,1.4538,4.7309,863
3/30/2007,793.95,47812,26476.5988,18.473,0.9843,#N/A N/A,9.4522,24.6173,24.6173,29.8843,0,-90.1344,2.0587,58.1682,58.1682,42.9788,42.9788,83.9964,25,25,42.979,1.214,41.8318,23314.5819,1308.2377,-1.8786,1308.2377,19.6999,5.4467,5.4133,4.769,886.8819,1395.1235,#N/A N/A,#N/A N/A,324.6074,1.5056,0,622.5447,875.51,527.869,780.6217,30.813,27.036,23.299,62.0142,47.8515,1.4538,4.5476,825.1
4/30/2007,777.25,55472,26476.5988,18.0844,0.9075,#N/A N/A,9.2534,24.6173,24.6173,29.8843,0,-90.1344,2.0587,58.1682,58.1682,42.9788,42.9788,83.9964,25,25,42.979,1.214,41.8318,22772.4882,1308.2377,-1.8786,1308.2377,19.2856,5.4467,5.5296,4.8715,886.8819,1395.1235,#N/A N/A,#N/A N/A,324.6074,1.5056,0,633.0143,874.08,530.3615,790.55,25.628,25.486,25.063,61.2581,46.7384,1.4538,4.4519,798.95
5/31/2007,771.75,60537,26476.5988,17.9564,0.8595,#N/A N/A,9.1879,24.6173,24.6173,29.8843,0,-90.1344,2.0587,58.1682,58.1682,42.9788,42.9788,83.9964,25,25,42.979,1.214,41.8318,22593.9544,1308.2377,-1.8786,1308.2377,19.1491,5.4467,5.569,4.9062,886.8819,1395.1235,#N/A N/A,#N/A N/A,324.6074,1.5056,0,643.4233,872.925,532.2223,799.5483,23.667,25.43,24.625,61.0047,46.3559,1.4538,4.4204,780
6/29/2007,755.95,83282,24538.6929,27.3193,1.4614,27.3193,8.4273,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,84.5564,27.6709,27.6709,89.7029,20,20,27.6709,1.1993,15.4436,24246.289,1462.7101,-0.1999,1462.7101,16.7762,6.0327,3.6604,5.5947,914.9339,898.2171,#N/A N/A,#N/A N/A,324.6074,0.2677,0,653.045,870.8725,534.0935,805.2883,26.211,24.312,25.005,60.2639,45.2114,0.1784,4.5584,772
7/31/2007,799.8,172645,24538.6929,28.904,1.4526,28.904,8.9161,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,84.5564,27.6709,27.6709,89.7029,20,20,27.6709,1.1993,15.4436,25669.6908,1462.7101,-0.1999,1462.7101,17.7493,6.0327,3.4597,5.288,914.9339,898.2171,#N/A N/A,#N/A N/A,324.6074,0.2677,0,663.237,869.755,535.4115,810.595,26.318,25.152,24.117,61.6026,48.9766,0.1784,4.8228,752
8/31/2007,752.85,198560,24538.6929,27.2073,1.386,27.2073,8.3927,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,84.5564,27.6709,27.6709,89.7029,20,20,27.6709,1.1993,15.4436,24145.6609,1462.7101,-0.1999,1462.7101,16.7074,6.0327,3.6755,5.6178,914.9339,898.2171,#N/A N/A,#N/A N/A,324.6074,0.2677,0,672.322,864.76,537.0867,816.51,12.58,19.296,22.038,59.3865,45.3806,0.1784,4.5397,785
9/28/2007,740.05,440092,24538.6929,26.7447,1.2915,26.7447,8.25,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,84.5564,27.6709,27.6709,89.7029,20,20,27.6709,1.1993,15.4436,23730.3841,1462.7101,-0.1999,1462.7101,16.4233,6.0327,3.7391,5.7149,914.9339,898.2171,#N/A N/A,#N/A N/A,324.6074,0.2677,0,680.8537,855.805,537.2448,822.3267,16.33,19.282,20.715,58.79,44.423,0.1784,4.4625,769.25
10/31/2007,678.95,299562,24538.6929,24.5366,1.0414,24.5366,7.5689,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,84.5564,27.6709,27.6709,89.7029,20,20,27.6709,1.1993,15.4436,21747.0171,1462.7101,-0.1999,1462.7101,15.0674,6.0327,4.0755,6.2292,914.9339,898.2171,#N/A N/A,#N/A N/A,324.6074,0.2677,0,687.884,844.41,536.4343,824.5733,15.277,17.356,19.532,56.012,40.0758,0.1784,4.0941,755
11/30/2007,715.7,169546,24538.6929,25.8647,1.1059,25.8647,7.9786,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,84.5564,27.6709,27.6709,89.7029,20,20,27.6709,1.1993,15.4436,22939.9588,1462.7101,-0.1999,1462.7101,15.8829,6.0327,3.8663,5.9094,914.9339,898.2171,#N/A N/A,#N/A N/A,324.6074,0.2677,0,693.6627,824.72,535.4047,827.455,12.517,23.791,21.386,57.2684,43.6478,0.1784,4.3157,724
12/31/2007,782.15,191314,24538.6929,28.2662,1.2807,28.2662,8.7193,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,84.5564,27.6709,27.6709,89.7029,20,20,27.6709,1.1993,15.4436,25096.9921,1462.7101,-0.1999,1462.7101,17.3576,6.0327,3.5378,5.4073,914.9339,898.2171,#N/A N/A,#N/A N/A,324.6074,0.2677,0,701.1997,813.3475,534.2262,832.1933,28.354,25.455,23.743,59.4356,49.5086,0.1784,4.7163,706.05
1/31/2008,754,364164,24538.6929,27.2489,1.4205,27.2489,8.4055,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,84.5564,27.6709,27.6709,89.7029,20,20,27.6709,1.1993,15.4436,24183.215,1462.7101,-0.1999,1462.7101,16.7329,6.0327,3.6699,5.6092,914.9339,898.2171,#N/A N/A,#N/A N/A,324.6074,0.2677,0,706.495,806.625,533.9995,834.6217,43.14,30.285,30.554,58.1433,47.266,0.1784,4.5466,775
2/29/2008,730,68413,24538.6929,26.3815,1.3768,26.3815,8.138,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,84.5564,27.6709,27.6709,89.7029,20,20,27.6709,1.1993,15.4436,23404.1511,1462.7101,-0.1999,1462.7101,16.2003,6.0327,3.7905,5.7936,914.9339,898.2171,#N/A N/A,#N/A N/A,324.6074,0.2677,0,711.717,802.3425,535.2995,832.0933,29.226,33.767,31.201,57.0493,45.3786,0.1784,4.4019,736.05
3/31/2008,689.35,95064,24538.6929,24.9125,1.5001,24.9125,7.6848,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,84.5564,27.6709,27.6709,89.7029,20,20,27.6709,1.1993,15.4436,22084.6115,1462.7101,-0.1999,1462.7101,15.2982,6.0327,4.0141,6.1353,914.9339,898.2171,#N/A N/A,#N/A N/A,324.6074,0.2677,0,717.083,794.2875,536.7597,828.5767,44.913,38.42,34.386,55.2285,42.2979,0.1784,4.1568,720
4/30/2008,774.9,72963,24538.6929,28.0042,1.526,28.0042,8.6385,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,84.5564,27.6709,27.6709,89.7029,20,20,27.6709,1.1993,15.4436,24861.6499,1462.7101,-0.1999,1462.7101,17.1967,6.0327,3.5709,5.4579,914.9339,898.2171,#N/A N/A,#N/A N/A,324.6074,0.2677,0,723.969,789.545,539.942,827.84,25.07,33.646,34.561,58.1373,49.9924,0.1784,4.6726,712
5/30/2008,770,43980,24538.6929,27.8271,1.598,27.8271,8.5839,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,84.5564,27.6709,27.6709,89.7029,20,20,27.6709,1.1993,15.4436,24702.591,1462.7101,-0.1999,1462.7101,17.088,6.0327,3.5936,5.4926,914.9339,898.2171,#N/A N/A,#N/A N/A,324.6074,0.2677,0,731.17,782.87,543.1187,826.1017,22.699,32.001,33.755,57.9144,49.5846,0.1784,4.6431,800
6/30/2008,763.95,515392,24798.3787,18.8702,1.3194,18.8702,7.1539,20.439,20.439,25.7937,0,-48.0263,2.0101,57.8319,57.8319,40.4844,40.4844,106.7883,20,20,40.4844,1.262,42.1681,23133.7841,1816.3034,-0.9166,1816.3034,13.6532,7.8514,5.2994,6.8355,1204.8321,1314.1539,#N/A N/A,#N/A N/A,324.6074,0.8447,0,738.057,776.0675,546.2582,823.1417,26.708,24.656,30.055,57.6321,49.0525,0.7821,3.8569,769.55
7/31/2008,717.2,164720,24798.3787,17.7155,1.147,17.7155,6.7161,20.439,20.439,25.7937,0,-48.0263,2.0101,57.8319,57.8319,40.4844,40.4844,106.7883,20,20,40.4844,1.262,42.1681,21616.2324,1816.3034,-0.9166,1816.3034,12.8177,7.8514,5.6448,7.2811,1204.8321,1314.1539,#N/A N/A,#N/A N/A,324.6074,0.8447,0,744.313,766.625,549.5418,816.41,25.591,24.847,24.734,55.4708,45.0311,0.7821,3.6209,740
