Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,228.98,3105564,25643.3794,3.7492,5.9347,5.9347,4.4781,44.5788,17.9586,2.0044,49.8535,4.7516,61.0726,2.25,0.7546,50.1465,24801.1221,1209.0739999999996,0.9834,18.2034,4.4332,2.0752,3.7745,525.4479,456.7262,505.9862,1.0962,0.1274,0.7248,2.8599,48.1901,232.55,228.98,235.0,225.63,1107938.0,-17.705882352941202,20.379999999999995,0.7844102928340051,164.4661395754752,0.3848641687702916,-2.2987265803962487,3.571692508925819,0.15587700186063133,15.397849462042984,-82188.32493204076,0.5714285714285714,-9.643902465653637e-06,0.02158202609380009,213.95866666666663,221.42866666666663,206.4886666666667
2/28/2007,248.63,4194180,25643.3794,4.0710000000000015,5.9347,5.9347,4.4781,44.5788,17.9586,2.0044,49.8535,4.7516,61.0726,2.25,0.7546,50.1465,27306.7875,1209.0739999999996,0.9834,19.7656,4.4332,1.9111,3.4762,525.4479,456.7262,505.9862,1.0962,0.1149,0.7248,3.1053,52.3255,240.0,248.63,267.5,234.0,1146272.0,-34.39037725533078,18.579999999999984,0.4790396268726273,92.49607479382185,0.29905417242445104,-7.5588444287784,13.432737107587068,0.2862895011443643,-10.597270911214457,-48257.51816746403,0.5714285714285714,-0.00013597267830400538,0.17647055613674167,236.9633333333333,247.85433333333322,226.0723333333333
3/30/2007,249.43,7274576,25759.9077,3.4160000000000004,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,9.3545,73.0156,2.5,0.7127,72.9238,27944.1192,1569.7509,1.1737,16.1974,5.6175,3.7504,4.5710000000000015,873.1404,953.5789,516.3858,1.2395,0.1495,0.8037,2.6779,26.6642,249.5,249.43,251.48,246.05,13436.0,-59.87580606639597,3.0,0.649865934426063,57.8740598828935,0.2746444232361391,-2.632446435951266,4.493642392606428,0.16634216322795775,-1.2550587864040603,-3826.139917460008,0.42857142857142855,0.00024967217454247253,0.024671419883958903,246.93650000000008,256.875,236.998
4/30/2007,251.0,770516,25759.9077,3.4376,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,9.3545,73.0156,2.5,0.7127,72.9238,28106.7808,1569.7509,1.1737,16.2997,5.6175,3.7269,4.5423,873.1404,953.5789,516.3858,1.2395,0.1485,0.8037,2.6949,26.831999999999997,251.0,251.0,255.0,247.6,6806.0,-81.70317803147175,1.0699999999999932,0.5357838943165931,-24.07754476125327,0.18409053008565848,-1.4497678412485302,2.952837940239035,0.07805021106912652,-1.0366868369710358,-743.4716036936792,0.5,-0.0005449801801524981,0.04146746388259481,252.9945,262.6069999999998,243.3820000000001
5/31/2007,251.32,860424,25759.9077,3.4421,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,9.3545,73.0156,2.5,0.7127,72.9238,28140.3458,1569.7509,1.1737,16.3208,5.6175,3.7221,4.5364,873.1404,953.5789,516.3858,1.2395,0.1483,0.8037,2.6983,26.8662,258.0,251.32,265.0,245.5,315296.0,-42.09230769230771,11.47,0.7268111669191475,120.38593641281125,0.2773827998209075,0.7236607645801598,-3.5216763201318755,-0.04385967934540955,8.335471083497879,-35551.779504626094,0.42857142857142855,4.4040748957694425e-05,-0.03550801897858838,244.7233333333335,255.0323333333332,234.41433333333333
6/29/2007,259.9,1274406,25759.9077,3.5595,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,9.3545,73.0156,2.5,0.7127,72.9238,29025.9478,1569.7509,1.1737,16.8776,5.6175,3.5993,4.3868,873.1404,953.5789,516.3858,1.2395,0.1434,0.8037,2.7904,27.7834,262.5,259.9,269.0,240.75,54834.0,-42.77695716395871,10.829999999999984,0.3767510937395654,29.45946411743475,0.2350154686748419,-3.565815907306672,5.7057147782333075,0.18099571042039828,-0.20738118849953813,-688.5151196900651,0.5,-0.0006334882270701885,0.08591058154820284,254.1918333333334,264.4213333333332,243.9623333333334
7/31/2007,242.13,1304176,25759.9077,3.3161,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,9.3545,73.0156,2.5,0.7127,72.9238,27190.1956,1569.7509,1.1737,15.7234,5.6175,3.8635,4.7088,873.1404,953.5789,516.3858,1.2395,0.154,0.8037,2.5996,25.8838,250.5,242.13,250.5,235.0,65264.0,-77.00000000000001,-3.670000000000016,0.3854888097447744,-149.54096763824424,0.2433896558874828,1.3326608046778858,-2.3307225255026047,-0.09203228898271176,-0.4373124887279853,5380.7179929985805,0.35714285714285715,7.620356948209465e-05,-0.04230500918184082,249.15416666666675,258.59766666666644,239.71066666666667
8/31/2007,242.25,3642336,25759.9077,3.3178,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,9.3545,73.0156,2.5,0.7127,72.9238,27203.1053,1569.7509,1.1737,15.7315,5.6175,3.8615,4.7064,873.1404,953.5789,516.3858,1.2395,0.1539,0.8037,2.6009,25.8966,245.0,242.25,247.45,241.0,234328.0,-78.98550724637681,-6.349999999999994,0.5490042779674076,-77.29854731301037,0.23842352532701536,1.4278266420874388,-1.5658846384297314,-0.06943100957993488,11.698113422019846,-46997.59366021167,0.5,0.00043914003406246165,-0.029541856738152864,248.51483333333343,260.1688333333331,236.86083333333332
9/28/2007,242.68,2144368,25759.9077,3.3236,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,9.3545,73.0156,2.5,0.7127,72.9238,27247.1925,1569.7509,1.1737,15.7591,5.6175,3.8547,4.6981,873.1404,953.5789,516.3858,1.2395,0.1536,0.8037,2.6055,25.9426,239.0,242.68,244.85,235.05,97672.0,-18.604651162790645,7.930000000000009,0.44195215343098426,24.12333862604339,0.3269614188132517,1.5753775254851805,-3.289121886822235,-0.08844374813695301,-2.6269427238851923,17167.126097063356,0.5714285714285714,5.299003753139339e-05,-0.03564146381240268,239.4385000000001,246.79749999999973,232.0795
10/31/2007,242.3,3374004,25759.9077,3.3185,10.0434,10.0434,7.1578,48.8437,23.3735,2.1857,27.0762,9.3545,73.0156,2.5,0.7127,72.9238,27208.4632,1569.7509,1.1737,15.7347,5.6175,3.8607,4.7054,873.1404,953.5789,516.3858,1.2395,0.1539,0.8037,2.6015,25.901999999999997,246.35,242.3,249.5,235.05,56128.0,-33.55263157894732,2.0200000000000102,0.5181755304987559,30.528738655281767,0.1889437865283817,-0.01875273724587601,-1.277594953955616,-0.000798667462081495,-1.0024785706294557,-17462.102154487176,0.5,-9.720765121523514e-05,-0.019190155464810663,240.05533333333332,252.8453333333332,227.26533333333333
