Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,70.77,78013500,221068.6901,8.7185,37.9802,37.9802,36.3518,16.2698,-32.6811,3.9542,7.1736,3.4849,8.1172,0.25,0.9571,92.8264,287817.0056,23068.5,-0.4859,12.9625,10.9923,4.9243,7.2429,14303.6423,14724.8,4225.3,3.214,0.0187,2.278,7.7129,20.3076,75.1,70.77,76.2,70.0,6655770.0,-94.24943988050785,-8.560000000000002,0.17599799928965254,-159.36579695448037,0.5736113144079512,2.2268327774663703,-15.418789620047438,-0.32457514784699604,0.6734573287263494,-1652747.011970504,0.42857142857142855,-1.8272211203182568e-06,-0.1396658088863171,78.56366666666666,82.07816666666666,75.04916666666666
2/28/2007,64.18,102407510,221068.6901,7.9067,37.9802,37.9802,36.3518,16.2698,-32.6811,3.9542,7.1736,3.4849,8.1172,0.25,0.9571,92.8264,259972.1459,23068.5,-0.4859,11.7555,10.9923,5.4299,7.9865,14303.6423,14724.8,4225.3,3.214,0.0206,2.278,6.9947,18.4166,60.5,64.18,66.51,57.1,4188820.0,-36.785714285714214,-2.9499999999999886,0.22252664987589416,-76.15521528741267,0.4689627248140613,2.9107847842098664,-18.838427222621114,-0.2824004307909591,-0.32918423066718394,991343.8256971536,0.42857142857142855,-1.1386732924339895e-06,-0.2321589983992853,66.0638333333333,69.97633333333333,62.15133333333336
3/30/2007,56.49,53027770,238667.1437,3.1292,51.888999999999996,51.888999999999996,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,193441.2075,64200.3,-0.7045,3.7175,33.1885,18.6109,26.2423,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,2.7881,5.3737,55.2,56.49,57.12,55.2,2152400.0,-77.17391304347827,-4.659999999999997,0.43339442740902334,-52.598673315916756,0.28465478716712056,2.5839845068382203,-16.124203083856198,-0.2970584228427231,-1.6613889044080734,397489.0933889084,0.2857142857142857,-1.0425998143872943e-07,-0.1844417504442006,57.803999999999974,60.66249999999999,54.945499999999974
4/30/2007,67.91,84154220,238667.1437,3.7619,51.888999999999996,51.888999999999996,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,241694.3634,64200.3,-0.7045,4.4691,33.1885,15.481,21.829,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,3.3518,6.46,64.51,67.91,68.41,64.1,3240310.0,-61.982758620689665,-0.020000000000010232,0.6096572086968054,22.293668399970738,0.4342920641405165,-1.45136769501228,14.130344426205006,0.1359252882072841,-0.4460819329794588,943522.4419139784,0.5,-6.464659642813464e-08,0.2439499891807524,65.62299999999998,69.12249999999996,62.12350000000002
5/31/2007,65.66,60612780,238667.1437,3.6375,51.888999999999996,51.888999999999996,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,232208.5197,64200.3,-0.7045,4.3214,33.1885,16.0103,22.5754,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,3.241,6.246,65.0,65.66,65.9,64.62,543760.0,-69.9386503067485,-5.530000000000001,0.31862225529335875,-76.9262871128052,0.31567036710038665,0.3604556693448586,2.8116321369363604,-0.03559098208399706,-1.4131723527061857,101523.543620261,0.42857142857142855,-1.6849458179691182e-06,-0.05122766097362711,68.56466666666665,71.22366666666666,65.90566666666666
6/29/2007,70.46,57175520,238667.1437,3.9031,51.888999999999996,51.888999999999996,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,252468.9297,64200.3,-0.7045,4.637,33.1885,14.9207,21.0389,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,3.4777,6.7026,69.9,70.46,71.4,69.9,1600140.0,-44.03183023872682,5.1799999999999935,0.5809609918069518,44.21852743934353,0.2731716287884838,-1.2034963826161091,3.908385289105596,0.1251940137511633,-0.42386519975051057,-605230.6305669054,0.42857142857142855,-4.2252365348875627e-08,0.09797702267298168,68.65099999999995,71.04149999999996,66.26050000000001
7/31/2007,75.33,51555730,238667.1437,4.1732,51.888999999999996,51.888999999999996,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,273067.3653,64200.3,-0.7045,4.9578,33.1885,13.9551,19.6774,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,3.7183,7.1658,73.0,75.33,76.5,72.4,2144660.0,-52.50347705146037,2.0999999999999943,0.4859403670639161,-5.689830329890193,0.2528513922045146,-0.8077731743499754,11.125970196747254,0.08542906932372163,2.327525794352709,569326.2967189454,0.35714285714285715,-1.0864647829269404e-07,0.0990349539985656,75.01633333333331,78.3218333333333,71.71083333333334
8/31/2007,72.25,32893830,238667.1437,4.0023,51.888999999999996,51.888999999999996,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,260032.2527,64200.3,-0.7045,4.7548,33.1885,14.550999999999998,20.5176,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,3.5660000000000003,6.8728,71.01,72.25,73.0,70.5,2120980.0,-14.064015518913699,1.2600000000000051,0.4922379598295228,48.23479228800382,0.13865776265419946,0.6430562389586214,-6.894279471651492,-0.07622910846226195,-2.7032119217928425,383178.7219722456,0.5714285714285714,3.3507122674840376e-08,-0.07994830293114054,70.36799999999997,73.69749999999995,67.03849999999998
9/28/2007,81.11,40535030,238667.1437,4.4934,51.888999999999996,51.888999999999996,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,297489.7157,64200.3,-0.7045,5.3382,33.1885,12.9606,18.2752,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,4.0036,7.7157,78.1,81.11,82.0,78.1,6593820.0,-7.235772357723584,9.849999999999994,0.6830521851346005,140.47360447182422,0.3250355520860363,-2.079439149652345,7.322843802303432,0.28061575086115953,-23.772719149872646,957169.782555148,0.5714285714285714,2.630175570045031e-06,0.1344081559646022,73.4403333333333,76.89533333333331,69.98533333333332
10/31/2007,90.55,51542520,238667.1437,5.0167,51.888999999999996,51.888999999999996,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,337397.8643,64200.3,-0.7045,5.9598,33.1885,11.6088,16.369,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,4.4698,8.6136,87.5,90.55,91.2,86.31,2612190.0,-34.909290819131414,5.219999999999999,0.4187158433461606,80.34893393170773,0.16824863441111812,-2.161629485165051,15.809428914358245,0.17722280905690108,1.1295321904379323,551760.2662024271,0.6428571428571429,-1.9957057997382445e-06,0.14344606224713902,85.68516666666662,91.85966666666664,79.51066666666667
