Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,209.14,2043824,32303.8939,22.7208,-1.3491,-1.3491,-1.14,83.3779,56.1947,3.1475,8.2407,-0.9256,9.2049,0.224,0.8451,91.7593,51099.2295,1149.547,2.4118,39.4857,3.0241,-0.4426,1.7642,-270.8325,-107.801,3152.043,1.3107,0.0906,0.5927,5.6803,-225.9507,203.27,209.14,211.03,202.08,28454.0,-35.38796229151565,12.589999999999973,0.7014126791948628,65.30496623551467,0.3945070598823464,-5.944640406564304,14.181540003099684,0.2688095493027635,2.51672853922672,2075.05134675788,0.5714285714285714,-0.0004524126865726756,0.22375508202892105,199.6313333333333,207.40433333333308,191.85833333333343
2/28/2007,249.46,4544627,32303.8939,27.1006,-1.3491,-1.3491,-1.14,83.3779,56.1947,3.1475,8.2407,-0.9256,9.2049,0.224,0.8451,91.7593,59848.987,1149.547,2.4118,47.0972,3.0241,-0.371,1.4791,-270.8325,-107.801,3152.043,1.3107,0.076,0.5927,6.7753,-269.5117,246.07,249.46,250.85,243.88,54342.0,-56.30189798339265,20.860000000000014,0.4435802927792525,15.885371507341485,0.3183637503561411,-13.764646292469052,35.53299825310084,0.3395429649135674,-0.9008196978660334,-30342.102039956844,0.35714285714285715,-0.0027398705064318627,0.4169499500870856,242.9928333333332,257.1738333333331,228.8118333333336
3/30/2007,265.29,6809580,57575.5741,20.0772,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,3.2252,13.2133,0.2489,0.949,91.7593,64978.763,1742.174,2.8322,33.0481,2.6811,1.2157,2.2025,926.6547,784.434,2685.043,1.1066,0.1112,0.4062,4.7747,82.2554,273.55,265.29,273.55,261.95,3727.0,-51.76874340021114,-12.839999999999973,0.2870687756862524,19.738857420322887,0.3166372536496552,-5.878183057899378,13.052777503634706,0.16026810316012366,-0.8068782740136659,39135.60644272533,0.42857142857142855,-0.002558524225550928,0.10305222478547127,264.1554999999999,277.1274999999997,251.18350000000027
4/30/2007,268.82,218186,57575.5741,20.3446,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,3.2252,13.2133,0.2489,0.949,91.7593,65745.7171,1742.174,2.8322,33.4883,2.6811,1.1998,2.1736,926.6547,784.434,2685.043,1.1066,0.1098,0.4062,4.8383,83.3499,267.77,268.82,270.66,264.79,12645.0,-77.38532110091741,-6.319999999999991,0.32869057320748263,-28.78887017096685,0.22929740116820266,-2.0250424272302325,4.869125955847715,0.07505242162410004,-2.0035329663582258,147.71326811336118,0.2857142857142857,-0.001064596688211072,0.05428344649043052,271.24216666666655,280.06166666666627,262.42266666666677
5/31/2007,314.36,2237390,57575.5741,23.7913,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,3.2252,13.2133,0.2489,0.949,91.7593,75629.7025,1742.174,2.8322,39.1617,2.6811,1.026,1.8587,926.6547,784.434,2685.043,1.1066,0.0939,0.4062,5.658,97.4699,316.25,314.36,317.55,312.57,207770.0,-63.1960370608201,39.670000000000016,0.7444785201011747,46.09495351719593,0.5026757420809568,-11.457669855447135,17.127574996283645,0.3601139900081558,6.495732198621317,1985.3337415023486,0.5,0.003001971973264209,0.25871576576780864,298.99849999999975,316.8554999999996,281.14150000000006
6/29/2007,301.57,3501362,57575.5741,22.8232,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,3.2252,13.2133,0.2489,0.949,91.7593,72853.5448,1742.174,2.8322,37.5682,2.6811,1.0695,1.9375,926.6547,784.434,2685.043,1.1066,0.0979,0.4062,5.4277,93.5043,302.61,301.57,303.56,296.64,9925.0,-9.838392662153302,41.25999999999999,0.5392077674146695,53.374217639845426,0.16282175761284076,-2.5204790677009328,-1.5194618401472526,0.0404953810893155,-0.4546517449662241,-36904.64943529695,0.5714285714285714,-0.0020977072991422976,-0.04174161446728608,284.43066666666647,303.57716666666624,265.28416666666686
7/31/2007,326.11,688559,57575.5741,24.6803,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,3.2252,13.2133,0.2489,0.949,91.7593,78179.0145,1742.174,2.8322,40.625,2.6811,0.989,1.7917,926.6547,784.434,2685.043,1.1066,0.0905,0.4062,5.8694,101.1131,305.65,326.11,333.47,305.65,46788.0,-16.073378466914196,27.580000000000037,0.7161584025484714,143.9287866208364,0.3150412385920054,-5.993625286855602,7.09977950454889,0.1354154417043504,4.0066377912216495,2733.69620603765,0.5714285714285714,0.0008773308330579009,0.08331919743787879,302.6555,316.81449999999955,288.49650000000014
8/31/2007,293.11,4510446,57575.5741,22.1829,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,3.2252,13.2133,0.2489,0.949,91.7593,71017.17599999999,1742.174,2.8322,36.5141,2.6811,1.1003,1.9935,926.6547,784.434,2685.043,1.1066,0.1007,0.4062,5.2755,90.8812,286.69,293.11,303.61,285.69,12155.0,-50.92442426208238,-23.589999999999968,0.5655023142759739,-6.518820367454466,0.4071899405271487,6.31071654710604,-8.266692051530656,-0.1498774588399705,-0.5849068774629413,-15023.499973928489,0.5,-0.0014842635144002782,-0.15575216150231944,295.8589999999998,312.3139999999996,279.40400000000005
9/28/2007,379.96,639570,57575.5741,28.756,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,3.2252,13.2133,0.2489,0.949,91.7593,89866.8108,1742.174,2.8322,47.3338,2.6811,0.8488,1.5378,926.6547,784.434,2685.043,1.1066,0.0777,0.4062,6.8387,117.8097,383.25,379.96,394.2,374.29,59481.0,-30.02717391304349,68.77999999999997,0.8274262507050442,104.80338154772114,0.5421761369738831,-20.814256355688826,20.530869691384808,0.3242971113034882,-5.457952031522819,-10220.006896989633,0.5714285714285714,0.002133370562628742,0.3793935210009834,336.0301666666665,357.5841666666662,314.47616666666687
10/31/2007,364.13,24141999,57575.5741,27.5581,6.5052,6.5052,6.1736,120.018,92.4577,1.9971,8.2407,3.2252,13.2133,0.2489,0.949,91.7593,86431.7271,1742.174,2.8322,45.3621,2.6811,0.8857,1.6046,926.6547,784.434,2685.043,1.1066,0.081,0.4062,6.5538,112.9015,382.25,364.13,382.25,359.36,17598.0,-41.97891753033926,30.25999999999999,0.5862610298797845,52.47921059617706,0.29607957795919143,-10.196380650660217,9.989157924304974,0.13133380637023104,-0.01971028030072408,-503534.8355309397,0.5,-0.0011003247098514402,0.08607675172176055,350.4733333333332,375.9918333333329,324.9548333333335
