Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,103.43,1488470,18376.3969,5.0324,5.259,5.259,6.1556,76.3082,51.8686,1.9082,41.588,3.0057,20.5518,1.25,1.1705,58.412,19305.3642,1090.613,1.6543,16.0477,5.4043,2.9061,4.7734,610.1247,508.627,423.092,0.9171,0.1517,0.3027,1.8096,34.4113,105.5,103.43,107.5,103.0,31142.0,-82.68041237113395,-0.11999999999999035,0.430708821897091,-35.60960237271278,0.21385073379914127,-1.3171365414390692,6.184032724214211,0.1126579315467246,7.0515869113200225,-7855.6253362104235,0.7857142857142857,-3.315180440715583e-05,0.06571066304610615,105.56349999999996,109.72050000000006,101.40650000000008
2/28/2007,101.33,1905340,18376.3969,4.9302,5.259,5.259,6.1556,76.3082,51.8686,1.9082,41.588,3.0057,20.5518,1.25,1.1705,58.412,18950.1311,1090.613,1.6543,15.7218,5.4043,2.9664,4.8723,610.1247,508.627,423.092,0.9171,0.1548,0.3027,1.7729,33.7126,100.0,101.33,103.95,92.5,33352.0,-72.7047913446677,-18.620000000000005,0.2658760448823885,-122.76316679039313,0.2235134625511984,0.9761343275025638,2.6671532277266823,-0.05412782545061502,-0.7876036613088415,9752.486363769394,0.35714285714285715,-0.0002772313652105041,-0.007341007954788648,110.279,117.05100000000007,103.50700000000008
3/30/2007,97.9,1729756,16566.904,4.0382,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,19347.9152,1633.936,1.7024,10.1392,8.4448,5.6446,7.8785,1169.231,935.132,423.092,0.748,0.1804,0.0624,1.3138,17.7159,97.05,97.9,98.93,97.05,11812.0,-65.51164049810501,-1.0799999999999983,0.5063755289827613,-21.406722250451786,0.13197618015525284,1.7009363552590455,-9.77930990970826,-0.1089055179113088,-0.7986343986078529,4920.174857981876,0.5,0.0001004035820821157,-0.09969826690529868,98.79183333333329,104.21883333333344,93.3648333333335
4/30/2007,97.25,697992,16566.904,4.0114,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,19238.0027,1633.936,1.7024,10.0719,8.4448,5.6823,7.9312,1169.231,935.132,423.092,0.748,0.1816,0.0624,1.3051,17.5983,96.0,97.25,99.38,96.0,16360.0,-83.81502890173405,-2.950000000000003,0.42363328109745496,-121.125164551509,0.14356179319383586,0.5678779001992638,0.11985973801157054,-0.0723347531052677,0.7120212986973031,1517.9924288842028,0.35714285714285715,6.591988521871367e-06,0.0021954032466464566,99.5783333333333,102.7738333333334,96.3828333333335
5/31/2007,130.57,5994904,16566.904,5.386,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,24877.1926,1633.936,1.7024,13.5233,8.4448,4.2321,5.907,1169.231,935.132,423.092,0.748,0.1353,0.0624,1.7523,23.6279,127.0,130.57,135.0,127.0,934940.0,-9.844444444444461,34.36999999999999,0.9305664780746012,150.78221561339447,0.593434002084024,-7.0127436297171775,14.33332714556308,0.5120348333450632,2.589826579547738,26616.101459495763,0.7857142857142857,3.929637886070429e-05,0.3076101907750867,104.80066666666664,110.89816666666677,98.70316666666685
6/29/2007,129.8,2074256,16566.904,5.3541,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,24746.0744,1633.936,1.7024,13.443,8.4448,4.2574,5.9423,1169.231,935.132,423.092,0.748,0.1361,0.0624,1.7419,23.4885,121.25,129.8,130.0,120.15,349504.0,-1.4285714285713471,7.570000000000008,0.6033925791126324,110.9258267673565,0.2853341580464429,-2.6032910017876247,15.300983889248965,0.1743492445302912,9.540934923459536,111702.85821153488,0.42857142857142855,-0.00011861514271503767,0.06985813507396586,122.241,128.78300000000007,115.69900000000021
7/31/2007,112.15,1667124,16566.904,4.626,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,21759.3732,1633.936,1.7024,11.615,8.4448,4.9274,6.8775,1169.231,935.132,423.092,0.748,0.1575,0.0624,1.5051,20.2946,114.98,112.15,117.45,108.75,138316.0,-83.1645569620253,-12.849999999999996,0.2617310297449949,-117.8736608678284,0.3281678317625489,1.865798416074768,-2.349921426221332,-0.12544535433524975,10.099181281558144,-8314.251280261598,0.2857142857142857,-0.0003823205753169212,-0.05967105815209076,122.83283333333335,130.52433333333343,115.14133333333359
8/31/2007,103.35,1296150,16566.904,4.263,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,20270.253,1633.936,1.7024,10.7037,8.4448,5.3469,7.4631,1169.231,935.132,423.092,0.748,0.1709,0.0624,1.3869999999999998,18.7022,103.0,103.35,104.38,101.9,128560.0,-78.39335180055407,-2.1000000000000085,0.5973844678881611,-53.524488204378116,0.2655296311975253,3.497498823334041,-15.288244168707113,-0.2946091338999559,-0.12900832566090853,17300.4825267954,0.5714285714285714,0.00034164830451028993,-0.1607997300720386,105.49233333333332,111.55033333333338,99.43433333333357
9/28/2007,94.8,3200592,16566.904,3.9104,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,18823.4186,1633.936,1.7024,9.8182,8.4448,5.8292,8.1362,1169.231,935.132,423.092,0.748,0.1863,0.0624,1.2722,17.155,105.0,94.8,105.0,92.55,104514.0,-75.87939698492464,-10.549999999999997,0.5733724513376207,-51.377691944355014,0.3395079158447425,3.6544520397875018,-9.417572549168296,-0.32782850813231185,-10.595389840937404,12753.212159235583,0.35714285714285715,3.0609726386787945e-06,-0.1417359203440233,101.5168333333334,106.5393333333334,96.49433333333357
10/31/2007,92.4,11886890,16566.904,3.8114,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,18417.2954,1633.936,1.7024,9.5696,8.4448,5.9806,8.3475,1169.231,935.132,423.092,0.748,0.1912,0.0624,1.24,16.7207,96.23,92.4,96.23,90.0,553142.0,-35.540069686411115,-0.0799999999999983,0.6010195120302367,56.267276270307704,0.1424624836327633,1.7260409034572315,-10.072250283491703,-0.1871459499826456,-0.3167179291555519,6964.9785951812655,0.5714285714285714,-1.1235238467336933e-05,-0.07787612088708011,91.30300000000004,96.568,86.03800000000027
